Area,2014-15,2015-16
E01019952,#,0
E01019953,#,#
E01019954,#,#
E01019955,#,0
E01019956,#,0.088610119
E01019957,#,0.088610119
E01019958,0.218145974,0.139246846
E01019959,#,#
E01019960,#,0
E01019961,0,#
E01019962,#,0
E01019963,0,#
E01019964,#,#
E01019965,0,0
E01019966,#,#
E01019967,#,#
E01019968,#,#
E01019969,0,#
E01019970,#,#
E01019971,#,#
E01019972,0,#
E01019973,0.108301974,#
E01019974,#,0
E01019975,#,0
E01019976,#,0.121840276
E01019977,#,0.218145974
E01019980,#,#
E01019981,0,#
E01019982,0,#
E01019983,0,0
E01019984,#,#
E01019985,#,#
E01019986,#,0
E01019987,#,#
E01019988,#,0
E01019989,#,#
E01019990,#,#
E01019991,#,#
E01019992,0,#
E01019993,#,0
E01019994,#,#
E01019995,0.258478702,0.174789274
E01019996,#,#
E01019997,0,0
E01019998,#,#
E01019999,#,0
E01020000,0,#
E01020001,#,0
E01020002,#,#
E01020003,#,0
E01020004,#,#
E01020005,#,#
E01020006,#,#
E01020007,0,#
E01020008,0,0
E01020009,0,#
E01020010,#,#
E01020011,#,#
E01020012,#,0.162455922
E01020013,#,#
E01020014,#,#
E01020015,0,#
E01020016,#,0.307448782
E01020017,#,#
E01020018,0.218145974,#
E01020019,#,#
E01020020,#,#
E01020021,0,#
E01020022,0,#
E01020023,0,0
E01020024,#,0
E01020025,#,#
E01020026,#,#
E01020027,0,#
E01020029,0,#
E01020030,#,0.08122574
E01020031,#,#
E01020032,0,0
E01020033,#,#
E01020035,#,0
E01020036,#,#
E01020037,#,0
E01020038,#,#
E01020039,0.139246846,0.162455922
E01020040,0,#
E01020041,#,#
E01020042,#,#
E01020043,#,#
E01020044,#,0
E01020045,0,#
E01020046,#,#
E01020047,0,#
E01020048,0,#
E01020049,#,#
E01020050,#,#
E01020051,#,0.162455922
E01020052,#,#
E01020053,0,#
E01020054,0,#
E01020055,#,#
E01020056,#,#
E01020057,#,#
E01020058,#,#
E01020059,#,#
E01020060,0,0.088610119
E01020061,#,#
E01020062,#,#
E01020063,0,0
E01020064,0,#
E01020065,#,0
E01020066,0,0
E01020067,#,#
E01020068,#,#
E01020069,#,#
E01020070,#,#
E01020071,#,0
E01020072,0,#
E01020073,#,0
E01020074,0,#
E01020075,#,#
E01020076,#,0
E01020077,0,#
E01020078,0,0.162455922
E01020079,0,0.218145974
E01020080,#,#
E01020081,#,#
E01020082,#,#
E01020083,0,#
E01020084,#,#
E01020085,#,#
E01020086,#,#
E01020087,#,0
E01020088,#,0.24902172
E01020089,0.121840276,0.108301974
E01020090,0,0
E01020091,#,#
E01020092,#,#
E01020093,0.174789274,0.28705736
E01020094,0,0.253999937
E01020095,0,0
E01020096,0,0.162455922
E01020097,#,#
E01020098,#,0
E01020099,#,#
E01020100,#,#
E01020101,0,#
E01020102,#,#
E01020103,#,0.108301974
E01020104,0,#
E01020105,#,#
E01020106,#,0.139246846
E01020107,0.121840276,0
E01020108,#,#
E01020109,#,#
E01020110,#,0
E01020111,#,0
E01020112,#,#
E01020113,#,#
E01020114,0,#
E01020115,#,#
E01020116,#,#
E01020117,0,#
E01020118,#,#
E01020119,0,0
E01020120,0,0.08122574
E01020121,0.097471421,0
E01020122,#,#
E01020123,#,#
E01020124,0.121840276,#
E01020125,#,#
E01020126,#,0
E01020127,#,#
E01020128,#,#
E01020129,#,#
E01020130,#,#
E01020131,0,#
E01020132,0,0.147026266
E01020133,#,#
E01020134,#,#
E01020135,#,0
E01020136,0,0
E01020137,0,#
E01020138,0,#
E01020139,0,0.121840276
E01020140,#,#
E01020141,0.121840276,#
E01020142,#,#
E01020143,#,#
E01020144,#,#
E01020145,0,#
E01020146,#,#
E01020147,#,#
E01020148,#,0
E01020149,0,#
E01020150,#,#
E01020151,#,#
E01020152,0,#
E01020153,#,#
E01020154,#,#
E01020155,#,0.218145974
E01020156,#,#
E01020157,#,0
E01020158,#,0
E01020159,#,#
E01020160,#,#
E01020161,0.130881584,0
E01020162,#,#
E01020163,#,#
E01020164,0,#
E01020165,0,0
E01020166,0,0
E01020167,0,0
E01020168,0.121840276,0.174789274
E01020169,#,0.162455922
E01020170,#,#
E01020171,#,0
E01020172,#,#
E01020173,#,#
E01020174,#,#
E01020175,#,#
E01020176,#,#
E01020177,#,0
E01020178,#,#
E01020179,#,#
E01020180,0,0
E01020181,#,0
E01020182,0,#
E01020183,0,#
E01020184,0,0
E01020185,0,#
E01020186,#,0
E01020187,#,#
E01020188,#,#
E01020189,#,0
E01020190,0,#
E01020191,#,#
E01020192,0,#
E01020193,0,#
E01020194,#,#
E01020195,#,0
E01020196,0,0
E01020197,#,0
E01020198,#,#
E01020199,#,0
E01020200,#,0
E01020201,#,#
E01020202,0.139246846,0.218145974
E01020203,0.097471421,0
E01020204,#,#
E01020205,#,0
E01020206,0,0.139246846
E01020207,#,#
E01020208,0,#
E01020209,0,0
E01020210,#,#
E01020211,#,#
E01020212,0,#
E01020213,#,#
E01020214,0.121840276,#
E01020215,#,#
E01020216,#,0
E01020217,#,0
E01020218,#,#
E01020219,#,#
E01020220,#,0
E01020221,#,#
E01020222,0,#
E01020223,#,#
E01020224,#,#
E01020225,#,#
E01020226,#,#
E01020227,0,#
E01020228,0.134639482,0.174789274
E01020229,0,0.162455922
E01020230,#,#
E01020231,0.139246846,0.162455922
E01020232,0.162455922,0.121840276
E01020233,0.194077249,0.097471421
E01020234,#,#
E01020235,0.289766586,0.074977448
E01020236,#,#
E01020237,#,#
E01020238,#,#
E01020239,0,#
E01020240,#,0.174789274
E01020241,#,#
E01020242,#,#
E01020243,0,0
E01020244,0.194077249,#
E01020245,#,#
E01020246,0,#
E01020247,#,0
E01020248,#,#
E01020249,#,#
E01020250,#,0.139246846
E01020251,#,#
E01020252,0,#
E01020253,#,#
E01020254,0,#
E01020255,#,#
E01020256,#,#
E01020257,#,#
E01020258,#,0
E01020259,0,0
E01020260,0,0
E01020261,#,0
E01020262,0,#
E01020263,#,0
E01020264,#,#
E01020265,#,0.162455922
E01020266,0,#
E01020267,#,0
E01020268,#,0
E01020269,0,0.103067742
E01020270,#,#
E01020271,0,0.139246846
E01020272,#,#
E01020273,0,#
E01020274,#,#
E01020275,#,0
E01020276,#,0
E01020277,0,0
E01020278,#,#
E01020279,0.139246846,#
E01020280,#,#
E01020281,#,#
E01020282,0.162455922,0.121840276
E01020283,0.162455922,0.195139355
E01020284,#,0.108301974
E01020285,#,0
E01020286,#,#
E01020287,#,#
E01020288,#,#
E01020289,#,#
E01020290,#,#
E01020291,#,#
E01020292,#,#
E01020293,0.139246846,0.162455922
E01020294,0,#
E01020295,#,#
E01020296,0,#
E01020297,#,#
E01020298,0.251960339,0.139246846
E01020299,#,0.121840276
E01020300,#,#
E01020301,#,0
E01020302,#,0
E01020303,0,0.139246846
E01020304,0,0
E01020305,0,#
E01020306,0,0
E01020307,0,0
E01020308,#,#
E01020309,0,#
E01020310,#,0.174789274
E01020311,#,#
E01020312,#,0
E01020313,#,0
E01020314,#,#
E01020315,#,#
E01020316,#,#
E01020317,#,0
E01020318,#,#
E01020319,0,#
E01020320,0,#
E01020321,#,#
E01020322,#,#
E01020323,#,#
E01020324,#,0
E01020325,0,#
E01020326,#,0
E01020327,#,0.088610119
E01020328,#,#
E01020329,#,#
E01020330,#,0
E01020331,#,0.162455922
E01020332,#,0.139246846
E01020333,#,0.162455922
E01020334,0,0.158986984
E01020335,0,0.121840276
E01020336,0,0
E01020337,0,#
E01020338,0,#
E01020339,#,#
E01020340,#,0.24902172
E01020341,#,#
E01020342,#,#
E01032628,#,#
E01032657,,
E01032658,,
E01033232,0,#
E01033233,#,#
E01033234,#,0
E01033235,0,0
E01033236,0,#
E07000040,0.039532283,0.02985047
E07000041,0.042159202,0.041562307
E07000042,0.04954096,0.046815498
E07000043,0.028001465,0.037900602
E07000044,0.048133534,0.031818821
E07000045,0.034691784,0.030344193
E07000046,0.051631938,0.051836108
E07000047,0.060088749,0.045637544
E10000008,0.015798455,0.014401197
E06000026,,
E06000027,,
IMDQ1,0.05486252,0.065221943
IMDQ2,0.028365997,0.027692964
IMDQ3,0.02928743,0.024738131
IMDQ4,0.032940907,0.028797281
IMDQ5,0.033028242,0.033313586
E02003122,,
E02003123,,
E02003124,,
E02003125,,
E02003126,,
E02003127,,
E02003128,,
E02003129,,
E02003130,,
E02003131,,
E02003132,,
E02003133,,
E02003134,,
E02003135,,
E02003136,,
E02003137,,
E02003138,,
E02003139,,
E02003140,,
E02003141,,
E02003142,,
E02003143,,
E02003144,,
E02003145,,
E02003146,,
E02003147,,
E02003148,,
E02003149,,
E02003150,,
E02003151,,
E02003152,,
E02003153,,
E02003154,,
E02003155,,
E02003156,,
E02003157,,
E02003158,,
E02003159,,
E02003161,,
E02003163,,
E02003164,,
E02003165,,
E02003166,,
E02003167,,
E02003168,,
E02003169,,
E02003170,,
E02003171,,
E02004129,0.289766586,0
E02004130,0.092250994,0.060918888
E02004131,0.08122574,0
E02004132,0.139246846,0.064980236
E02004133,0.108301974,0.155919363
E02004134,0.117929063,0.046414164
E02004135,0.074977448,0.125062627
E02004136,0.218145974,0.174789274
E02004137,0,0.074977448
E02004138,0.048734911,0.073076992
E02004139,0.097471421,0
E02004140,0.180828565,0.081584539
E02004141,0,0.174789274
E02004142,#,0
E02004143,0,0.097471421
E02004144,0,0
E02004145,0.108301974,0.167706426
E02004146,0.212509539,0
E02004147,0.174789274,0.08122574
E02004148,0.107307785,0.083488777
E02004149,0,#
E02004150,0,0.194077249
E02004151,0,0.103067742
E02004152,0,0.28705736
E02004153,#,0.167706426
E02004154,#,0.097471421
E02004155,0.069621791,0.042378092
E02004156,0.136005282,0.14102912
E02004157,0,0.046414164
E02004158,0.069621791,0.09092654
E02004159,0.074977448,0.109486396
E02004160,0.060918888,0.09092654
E02004161,0.158986984,0.158130175
E02004162,0.108301974,0.147026266
E02004163,0.18879512,0.054149999
E02004164,0,0.097471421
E02004165,0.08122574,0.158986984
E02004166,0,0.074977448
E02004167,0.24902172,0.278447742
E02004168,0,0.112368175
E02004169,#,0
E02004170,#,0.134639482
E02004171,0.108301974,0.08122574
E02004172,0.174789274,0
E02004173,0.097471421,0.134639482
E02004174,0.134639482,0.048734911
E02004175,0,0.109486396
E02004176,0.11675742,0
E02004177,0.145804141,0.289766586
E02004178,0,0.109486396
E02004179,0.094534603,0.112030298
E02004180,0.060918888,0.149066467
E02004181,0,0.106260752
E02004182,0.0286674,0.159283311
E02004183,0.107307785,0.177337962
E02004184,0.069621791,0.0389878
E02004185,0.076246556,0.076246556
E02004186,0.048734911,0.102683275
E02004187,0,0.034810487
E02004188,0.088610119,0
E02004189,#,0.194077249
E02004190,0.156687995,0
E02004191,0,0
E02004192,0.194077249,0.180388157
E02004193,0.09092654,0
E02004194,0.195139355,0.139246846
E02004195,0,0.103067742
E02004196,0.13848552,0.069621791
E02004197,0.074977448,0
E02004198,0.064980236,0.107307785
E02004199,0.195139355,0
E02004200,0.194077249,0.121840276
E02004201,0,0
E02004202,0.130881584,0.142666003
E02004203,#,0
E02004204,0.099036203,0.031441694
E02004205,0.092250994,0.107307785
E02004206,0.129864283,0.089763143
E02004207,0.150001778,0.097359895
E02004208,0.202330045,0.076246556
E02004209,0.087651473,0.137014716
E02004210,0,0.099036203
E02004211,0.08122574,0.064980236
E02004212,0,0.190982133
E02004213,0,0.088610119
E02004214,0.216771913,0.124068488
E02004215,0,0.097471421
E02004216,0.060918888,0.08122574
E02004217,0.142666003,0.053180223
E02004218,0.195139355,0
E02004219,0,0.088610119
E02004220,0.167706426,0.098440685
E02004221,0.184062489,0.180283179
E02004222,0.174789274,0.069621791
E02004223,0.064974001,0.09570962
E02004224,0,0.134639482
E02004225,0,0.117929063
E02004226,0.125062627,0.190028838
E02004227,0.05129995,0.136012622
E02004228,0.108301974,0
E02004229,0.162455922,0
E02004230,0.234087242,0.09092654
E02004231,0,0
E02004232,0.233260489,0.150001778
E02004233,0.025649753,0.091855806
E02004234,0.158986984,0
E02004235,0.125062627,0.054149999
E02006840,,
TOWN01,0.142666003,0.053180223
TOWN02,0.079703505,0.11024497
TOWN03,0.03422995,0.055144562
TOWN04,0.072579269,0.062238111
TOWN05,0.081584539,0.08655831
TOWN06,0.100426452,0.04563299
TOWN07,0.097359895,0.079994971
TOWN08,0,0.11395771
TOWN09,0.089521213,0.079896348
TOWN10,0.039729403,0.036853256
TOWN11,0.056309695,0.049190586
TOWN12,0.034810487,0.108829936
TOWN13,0.062658075,0.084645378
TOWN14,0.092897742,0.039015956
TOWN15,0.07582864,0.115593984
TOWN16,0.071642252,0.034420654
TOWN17,0.108829936,0.079994971
TOWN18,#,0
TOWN19,#,#
TOWN20,0.041206348,0.040810297
TOWN21,0.122316968,0.071642252
TOWN22,0.167186377,0.079703505
TOWN23,0.040612314,0.082254545
TOWN24,0.108829936,0.061839807
TOWN25,0.037488251,0.025649753
TOWN26,0.059678397,0.06025205
TOWN27,0.074664679,0.068451825
TOWN28,0.04092766,0.081137258
TOWN29,0.086892052,0.01804978
DIV1,0.081584539,0.075692651
DIV2,0.11931304,0.046192862
DIV3,0.087651473,0.131688536
DIV4,0.015978483,0.09516113
DIV5,0.106260752,0.082254545
DIV6,0.08122574,0.07016041
DIV7,0.081584539,0.100236441
DIV8,0.064980236,0.092211228
DIV9,0.094796364,0.060769777
DIV10,0.081584539,0.08655831
DIV11,0.129950883,0.0389878
DIV12,0.114620548,0
DIV13,0.07016041,0.053180223
DIV14,0.087583657,0.131325102
DIV15,0.150001778,0.031441694
DIV16,0.054149999,0.062658075
DIV17,0.174789274,0.117929063
DIV18,0.092250994,0.11024497
DIV19,0.094237922,0.075189706
DIV20,0,0.229544427
DIV21,0.130881584,0.129950883
DIV22,0.092730596,0.094796364
DIV23,0.061839807,0.043948781
DIV24,0,0.10580677
DIV25,0.069655791,0.030459131
DIV26,0.056605146,0.094796364
DIV27,0.08122574,0
DIV28,0.122185179,0.027074753
DIV29,0.062658075,0.084645378
DIV30,0.076246556,0.137014716
DIV31,0.094534603,0.027074753
DIV32,0.09092654,0
DIV33,0.106260752,0.076354331
DIV34,0.076354331,0.118861047
DIV35,0.06403755,0.129864283
DIV36,0.056605146,0.081584539
DIV37,0.138571861,0.111469248
DIV38,0.179535297,0.090646344
DIV39,0.158986984,0.156687995
DIV40,0,0.087651473
DIV41,0.163428531,0.054149999
DIV42,0.037488251,0.072074585
DIV43,0.11902849,0.05664781
DIV44,0.09092654,0.034810487
DIV45,0,0
DIV46,0.094534603,0.122864488
DIV47,0.124068488,0.159283311
DIV48,0.025649753,0.091855806
DIV49,0.077426755,0.071843411
DIV50,0.156687995,0.190982133
DIV51,0,0.100426452
DIV52,0.054839264,0.11943229
DIV53,0.078882863,0.027848324
DIV54,0.124405398,0.031441694
DIV55,0.234087242,0.042378092
DIV56,0,0.054149999
DIV57,0.08122574,0.165438024
DIV58,0.110282677,0.031441694
CHSCTAXE,0.059748487,0.051813156
CHSCTBARNSTAPLE,0.035741406,0.060436403
CHSCTBIDEFORD,0.063514953,0.058263703
CHSCTBRAUNTON,0.058025389,0.068915456
CHSCTCREDITON,0.102521512,0.037357608
CHSCTCULLOMPTON,0.07398282,0.05162464
CHSCTDAWLISH,0.061294595,0.05098257
CHSCTEXETERCHALL,0.059550449,0.049928915
CHSCTEXETERSYCAMORE,0.052537497,0.059197527
CHSCTEXMOUTH,0.056309695,0.049190586
CHSCTHONITON,0.089102444,0.04451849
CHSCTIVYBRIDGE,0.072166689,0.013924097
CHSCTKINGSBRIDGE,0.108829936,0.079994971
CHSCTNABBOT,0.0418565,0.043919839
CHSCTOKE,0.115593984,0.043152448
CHSCTSMOLTON,0.067676646,0.05664781
CHSCTTAVISTOCK,0.057232721,0.062350717
CHSCTTEIGN,0.122316968,0.037357608
CHSCTTIVERTON,0.04092766,0.086718099
CHSCTTORRINGTON,0.038921013,0.070207904
CHSCTTOTNES,0.062753451,0.05767404
Eastern,,
Northern,,
Southern,,
Western,,
