Area,2016
E01020014,11
E01020015,15
E01020016,#
E01020017,0
E01020018,6
E01020019,#
E01020020,0
E01020021,#
E01020022,#
E01020023,#
E01020024,#
E01020025,#
E01020026,5
E01020027,#
E01020029,#
E01020030,#
E01020031,5
E01020032,#
E01020033,7
E01020035,#
E01020036,6
E01020037,7
E01020038,#
E01020039,10
E01020040,#
E01020041,9
E01020042,#
E01020043,6
E01020044,#
E01020045,5
E01020046,#
E01020047,#
E01020048,6
E01020049,#
E01020050,5
E01020051,#
E01020052,7
E01020053,6
E01020054,7
E01020055,9
E01020056,#
E01020057,7
E01020058,#
E01020059,#
E01020060,#
E01020061,6
E01020062,#
E01020063,7
E01020064,8
E01020065,6
E01020066,12
E01020067,21
E01020068,#
E01020069,#
E01020070,#
E01020071,10
E01020072,#
E01020073,#
E01020074,0
E01020075,#
E01020076,6
E01020077,#
E01020078,5
E01020079,8
E01020080,0
E01020081,6
E01020082,#
E01020083,6
E01020084,#
E01020085,#
E01020086,#
E01020087,#
E01020088,#
E01020089,5
E01020090,6
E01020091,#
E01020092,#
E01020093,#
E01020094,#
E01020095,7
E01020096,7
E01020097,#
E01020098,6
E01020099,#
E01020100,#
E01020101,5
E01020102,6
E01020103,27
E01020104,11
E01020105,#
E01020106,#
E01020107,7
E01020108,#
E01020109,#
E01020110,9
E01020111,7
E01020112,#
E01020113,#
E01020114,0
E01020115,#
E01020116,6
E01020117,6
E01020118,5
E01020119,#
E01020120,#
E01020121,8
E01020122,#
E01020123,#
E01020124,#
E01020125,#
E01020126,#
E01020127,#
E01020128,8
E01020129,6
E01020130,5
E01020131,12
E01020132,0
E01020133,#
E01020134,9
E01020135,20
E01020136,14
E01020137,8
E01020138,#
E01020139,8
E01020140,#
E01020141,17
E01020142,#
E01020143,#
E01020144,#
E01020145,#
E01020146,#
E01020147,#
E01020148,#
E01020149,#
E01020150,#
E01020151,#
E01020152,#
E01020153,0
E01020154,7
E01020155,#
E01020156,#
E01020157,#
E01020158,#
E01020159,#
E01020160,#
E01020161,6
E01020162,#
E01020163,#
E01020164,0
E01020165,#
E01020166,#
E01020167,#
E01020168,#
E01020169,#
E01020170,#
E01020171,#
E01020172,#
E01020173,#
E01020174,#
E01020175,5
E01020176,#
E01020177,6
E01020178,#
E01020179,#
E01020180,5
E01020181,9
E01020182,5
E01020183,#
E01020184,6
E01020185,#
E01020186,#
E01020187,#
E01020188,#
E01020189,5
E01020190,6
E01020191,#
E01020192,#
E01020193,#
E01020194,#
E01020195,#
E01020196,#
E01020197,#
E01020198,5
E01020199,8
E01020200,#
E01020201,#
E01020202,#
E01020203,#
E01020204,#
E01020205,#
E01020206,#
E01020207,5
E01020208,7
E01020209,#
E01020210,#
E01020211,6
E01020212,8
E01020213,#
E01020214,#
E01020215,#
E01020216,9
E01020217,#
E01020218,#
E01020219,#
E01020220,5
E01020221,#
E01020222,#
E01020223,#
E01020224,#
E01020225,#
E01020226,#
E01020227,0
E01020228,#
E01020229,5
E01020230,7
E01020231,#
E01020232,8
E01020233,#
E01020234,7
E01020235,6
E01020236,#
E01020237,#
E01020238,#
E01020239,#
E01020240,6
E01020241,10
E01020242,8
E01020243,#
E01020244,5
E01020245,#
E01020246,0
E01020247,6
E01020248,#
E01020249,#
E01020250,#
E01020251,#
E01020252,5
E01020253,#
E01020254,#
E01020255,#
E01020256,#
E01020257,#
E01020258,6
E01020259,0
E01020260,0
E01020261,0
E01020262,#
E01020263,0
E01020264,#
E01020265,#
E01020266,#
E01020267,#
E01020268,#
E01020269,#
E01020270,#
E01020271,#
E01020272,7
E01020273,6
E01020274,#
E01020275,#
E01020276,8
E01020277,17
E01020278,#
E01020279,15
E01020280,12
E01020281,6
E01020282,#
E01020283,#
E01020284,9
E01020285,12
E01020286,8
E01020287,#
E01020288,#
E01020289,#
E01020290,#
E01020291,0
E01020292,#
E01020293,9
E01020294,9
E01020295,#
E01020296,6
E01020297,5
E01020298,8
E01020299,6
E01020300,0
E01020301,5
E01020302,6
E01020303,8
E01020304,6
E01020305,6
E01020306,#
E01020307,14
E01020308,#
E01020309,#
E01020310,#
E01020311,6
E01020312,#
E01020313,#
E01020314,#
E01020315,0
E01020316,#
E01020317,#
E01020318,#
E01020319,#
E01020320,#
E01020321,7
E01020322,11
E01020323,#
E01020324,#
E01020325,#
E01020326,6
E01020327,#
E01020328,13
E01020329,#
E01020330,#
E01020331,5
E01020332,#
E01020333,#
E01020334,#
E01020335,0
E01020336,0
E01020337,#
E01020338,7
E01020339,#
E01020340,0
E01020341,#
E01020342,5
E01032628,#
E01032657,
E01032658,
E01033232,#
E01033233,#
E01033234,#
E01033235,#
E01033236,0
E07000040,171
E07000041,264
E07000042,204
E07000043,316
E07000044,149
E07000045,267
E07000046,226
E07000047,100
E10000008,1697
E06000026,
E06000027,
IMDQ1,170
IMDQ2,576
IMDQ3,487
IMDQ4,329
IMDQ5,135
E02003122,
E02003123,
E02003124,
E02003125,
E02003126,
E02003127,
E02003128,
E02003129,
E02003130,
E02003131,
E02003132,
E02003133,
E02003134,
E02003135,
E02003136,
E02003137,
E02003138,
E02003139,
E02003140,
E02003141,
E02003142,
E02003143,
E02003144,
E02003145,
E02003146,
E02003147,
E02003148,
E02003149,
E02003150,
E02003151,
E02003152,
E02003153,
E02003154,
E02003155,
E02003156,
E02003157,
E02003158,
E02003159,
E02003161,
E02003163,
E02003164,
E02003165,
E02003166,
E02003167,
E02003168,
E02003169,
E02003170,
E02003171,
E02004129,5
E02004130,8
E02004131,#
E02004132,#
E02004133,5
E02004134,21
E02004135,20
E02004136,6
E02004137,#
E02004138,16
E02004139,#
E02004140,#
E02004141,#
E02004142,#
E02004143,14
E02004144,11
E02004145,#
E02004146,18
E02004147,15
E02004148,7
E02004149,5
E02004150,14
E02004151,26
E02004152,6
E02004153,16
E02004154,12
E02004155,27
E02004156,14
E02004157,10
E02004158,21
E02004159,17
E02004160,20
E02004161,48
E02004162,14
E02004163,14
E02004164,12
E02004165,19
E02004166,9
E02004167,40
E02004168,25
E02004169,16
E02004170,25
E02004171,20
E02004172,11
E02004173,9
E02004174,18
E02004175,11
E02004176,15
E02004177,19
E02004178,11
E02004179,24
E02004180,10
E02004181,20
E02004182,29
E02004183,15
E02004184,63
E02004185,13
E02004186,15
E02004187,57
E02004188,14
E02004189,8
E02004190,13
E02004191,28
E02004192,7
E02004193,16
E02004194,9
E02004195,16
E02004196,12
E02004197,7
E02004198,13
E02004199,11
E02004200,9
E02004201,#
E02004202,31
E02004203,13
E02004204,16
E02004205,22
E02004206,18
E02004207,9
E02004208,11
E02004209,17
E02004210,14
E02004211,#
E02004212,15
E02004213,12
E02004214,11
E02004215,12
E02004216,16
E02004217,22
E02004218,9
E02004219,11
E02004220,22
E02004221,11
E02004222,21
E02004223,59
E02004224,17
E02004225,30
E02004226,21
E02004227,27
E02004228,18
E02004229,25
E02004230,23
E02004231,11
E02004232,11
E02004233,14
E02004234,8
E02004235,8
E02006840,
TOWN01,22
TOWN02,14
TOWN03,162
TOWN04,133
TOWN05,33
TOWN06,38
TOWN07,53
TOWN08,24
TOWN09,45
TOWN10,309
TOWN11,72
TOWN12,45
TOWN13,45
TOWN14,14
TOWN15,43
TOWN16,47
TOWN17,32
TOWN18,#
TOWN19,12
TOWN20,132
TOWN21,64
TOWN22,14
TOWN23,31
TOWN24,8
TOWN25,67
TOWN26,42
TOWN27,28
TOWN28,118
TOWN29,46
DIV1,31
DIV2,31
DIV3,9
DIV4,56
DIV5,71
DIV6,14
DIV7,62
DIV8,35
DIV9,14
DIV10,33
DIV11,22
DIV12,26
DIV13,23
DIV14,23
DIV15,31
DIV16,
DIV17,34
DIV18,23
DIV19,40
DIV20,8
DIV21,33
DIV22,11
DIV23,59
DIV24,37
DIV25,12
DIV26,18
DIV27,32
DIV28,40
DIV29,45
DIV30,30
DIV31,16
DIV32,16
DIV33,24
DIV34,23
DIV35,33
DIV36,26
DIV37,33
DIV38,34
DIV39,8
DIV40,37
DIV41,17
DIV42,31
DIV43,8
DIV44,22
DIV45,62
DIV46,19
DIV47,19
DIV48,14
DIV49,25
DIV50,57
DIV51,36
DIV52,51
DIV53,33
DIV54,19
DIV55,11
DIV56,26
DIV57,54
DIV58,20
CHSCTAXE,
CHSCTBARNSTAPLE,147
CHSCTBIDEFORD,141
CHSCTBRAUNTON,80
CHSCTCREDITON,36
CHSCTCULLOMPTON,68
CHSCTDAWLISH,67
CHSCTEXETERCHALL,169
CHSCTEXETERSYCAMORE,146
CHSCTEXMOUTH,72
CHSCTHONITON,23
CHSCTIVYBRIDGE,49
CHSCTKINGSBRIDGE,32
CHSCTNABBOT,126
CHSCTOKE,74
CHSCTSMOLTON,76
CHSCTTAVISTOCK,44
CHSCTTEIGN,30
CHSCTTIVERTON,108
CHSCTTORRINGTON,97
CHSCTTOTNES,59
Eastern,
Northern,
Southern,
Western,
