Area,2014,2015,2016
E01019919,24,15,10
E01019920,26,24,23
E01019921,21,21,16
E01019922,49,24,25
E01019923,24,18,19
E01019924,19,17,10
E01019925,#,5,9
E01019927,26,7,22
E01019928,19,26,12
E01019929,10,14,11
E01019930,5,6,#
E01019931,7,#,#
E01019932,43,14,18
E01019933,8,#,6
E01019934,21,20,29
E01019935,5,#,#
E01019936,9,#,#
E01019937,18,15,6
E01019938,13,10,14
E01019939,7,9,#
E01019940,#,#,5
E01019942,17,7,12
E01019943,21,12,10
E01019944,#,10,15
E01019945,11,17,15
E01019946,14,5,7
E01019947,19,9,8
E01019948,5,#,#
E01019949,#,#,#
E01019950,18,9,16
E01019951,6,5,5
E01019952,14,11,5
E01019953,14,12,7
E01019954,51,23,15
E01019955,34,14,19
E01019956,#,7,#
E01019957,6,7,#
E01019958,12,11,#
E01019959,15,14,11
E01019960,13,9,5
E01019961,16,8,6
E01019962,23,18,16
E01019963,9,7,5
E01019964,#,#,5
E01019965,14,9,7
E01019966,6,0,0
E01019967,10,8,10
E01019968,12,5,6
E01019969,17,5,12
E01019970,6,#,#
E01019971,32,25,12
E01019972,26,18,10
E01019973,10,#,#
E01019974,17,14,7
E01019975,66,44,30
E01019976,11,11,12
E01019977,22,17,25
E01019980,31,18,32
E01019981,43,38,29
E01019982,50,27,26
E01019983,12,7,5
E01019984,11,#,#
E01019985,43,38,32
E01019986,21,8,12
E01019987,15,10,6
E01019988,17,12,12
E01019989,11,11,12
E01019990,36,33,32
E01019991,45,21,41
E01019992,37,21,19
E01019993,10,8,9
E01019994,11,9,14
E01019995,38,19,15
E01019996,10,8,#
E01019997,5,#,#
E01019998,12,12,9
E01019999,7,9,#
E01020000,17,10,14
E01020001,#,#,#
E01020002,26,23,19
E01020003,24,27,9
E01020004,12,6,5
E01020005,74,61,63
E01020006,50,35,29
E01020007,#,#,#
E01020008,17,7,5
E01020009,8,7,5
E01020010,77,40,42
E01020011,15,#,9
E01020012,43,37,22
E01020013,27,10,17
E01020014,53,52,41
E01020015,65,52,45
E01020016,44,29,42
E01020017,34,29,24
E01020018,26,26,31
E01020019,7,5,11
E01020020,15,18,17
E01020021,5,#,9
E01020022,29,16,13
E01020023,18,14,12
E01020024,7,7,6
E01020025,13,7,5
E01020026,11,11,13
E01020027,12,5,6
E01020029,10,11,8
E01020030,23,21,23
E01020031,22,14,10
E01020032,26,8,7
E01020033,46,44,47
E01020035,17,8,9
E01020036,35,21,14
E01020037,37,40,34
E01020038,8,14,15
E01020039,65,39,20
E01020040,16,11,12
E01020041,32,31,29
E01020042,5,#,#
E01020043,29,19,21
E01020044,#,0,#
E01020045,16,11,8
E01020046,7,#,13
E01020047,15,15,15
E01020048,51,29,24
E01020049,0,#,#
E01020050,12,6,#
E01020051,9,7,#
E01020052,36,27,35
E01020053,20,15,18
E01020054,18,24,14
E01020055,19,25,18
E01020056,7,6,10
E01020057,36,22,30
E01020058,18,13,8
E01020059,20,11,19
E01020060,16,13,11
E01020061,28,22,19
E01020062,8,#,5
E01020063,22,24,18
E01020064,21,13,18
E01020065,43,10,20
E01020066,21,18,24
E01020067,73,54,41
E01020068,10,7,8
E01020069,18,9,18
E01020070,21,#,7
E01020071,22,15,10
E01020072,14,7,8
E01020073,13,9,15
E01020074,6,5,5
E01020075,11,10,6
E01020076,14,14,10
E01020077,6,5,6
E01020078,38,13,15
E01020079,20,21,20
E01020080,12,13,8
E01020081,13,9,14
E01020082,12,13,16
E01020083,19,21,20
E01020084,9,11,10
E01020085,#,11,5
E01020086,7,#,6
E01020087,12,8,12
E01020088,9,10,5
E01020089,10,6,5
E01020090,6,#,#
E01020091,#,5,#
E01020092,#,5,#
E01020093,12,11,12
E01020094,29,20,18
E01020095,25,21,23
E01020096,21,10,13
E01020097,9,6,#
E01020098,13,14,11
E01020099,#,5,#
E01020100,#,#,#
E01020101,21,13,8
E01020102,15,9,12
E01020103,53,44,43
E01020104,24,11,21
E01020105,14,12,8
E01020106,5,7,#
E01020107,18,9,7
E01020108,7,#,#
E01020109,#,5,#
E01020110,26,14,8
E01020111,30,24,32
E01020112,37,21,27
E01020113,17,29,18
E01020114,10,8,6
E01020115,5,#,7
E01020116,20,10,15
E01020117,7,6,#
E01020118,21,23,16
E01020119,#,5,#
E01020120,11,9,10
E01020121,25,14,28
E01020122,#,#,#
E01020123,26,10,22
E01020124,13,11,#
E01020125,#,#,5
E01020126,5,5,5
E01020127,13,15,6
E01020128,16,11,5
E01020129,17,14,19
E01020130,13,22,12
E01020131,28,12,10
E01020132,11,9,8
E01020133,#,#,#
E01020134,13,14,14
E01020135,29,25,20
E01020136,15,9,12
E01020137,19,16,22
E01020138,25,21,22
E01020139,26,18,17
E01020140,13,14,12
E01020141,56,37,33
E01020142,5,10,8
E01020143,9,7,8
E01020144,#,#,#
E01020145,7,8,8
E01020146,#,#,0
E01020147,#,0,0
E01020148,5,#,#
E01020149,7,7,7
E01020150,19,14,8
E01020151,#,5,#
E01020152,8,5,#
E01020153,5,#,#
E01020154,19,7,10
E01020155,30,22,16
E01020156,7,#,6
E01020157,10,14,9
E01020158,8,8,6
E01020159,#,#,#
E01020160,18,10,8
E01020161,38,17,32
E01020162,13,17,14
E01020163,7,15,16
E01020164,11,#,5
E01020165,6,8,9
E01020166,#,#,#
E01020167,5,#,7
E01020168,24,11,9
E01020169,30,17,16
E01020170,7,5,#
E01020171,#,#,7
E01020172,15,7,8
E01020173,5,#,#
E01020174,#,7,#
E01020175,#,#,#
E01020176,#,#,#
E01020177,20,20,30
E01020178,#,#,#
E01020179,10,5,#
E01020180,26,16,15
E01020181,29,12,18
E01020182,10,16,15
E01020183,17,5,#
E01020184,#,6,12
E01020185,#,#,#
E01020186,#,#,#
E01020187,6,6,6
E01020188,8,5,7
E01020189,10,11,13
E01020190,14,15,16
E01020191,7,#,#
E01020192,#,5,#
E01020193,#,7,#
E01020194,13,12,6
E01020195,14,6,18
E01020196,32,20,24
E01020197,5,6,6
E01020198,18,8,17
E01020199,33,23,19
E01020200,#,#,#
E01020201,8,6,11
E01020202,#,7,7
E01020203,0,0,#
E01020204,17,24,12
E01020205,#,#,0
E01020206,13,13,14
E01020207,21,17,18
E01020208,19,18,20
E01020209,21,15,10
E01020210,6,#,#
E01020211,35,31,25
E01020212,42,26,22
E01020213,22,28,27
E01020214,19,19,23
E01020215,#,#,#
E01020216,43,41,34
E01020217,18,14,27
E01020218,30,25,20
E01020219,24,35,36
E01020220,14,7,11
E01020221,15,9,5
E01020222,#,#,#
E01020223,17,#,14
E01020224,15,7,20
E01020225,28,16,19
E01020226,10,17,#
E01020227,12,15,14
E01020228,10,#,6
E01020229,13,12,15
E01020230,12,7,9
E01020231,12,12,10
E01020232,13,9,9
E01020233,7,5,6
E01020234,31,23,29
E01020235,8,10,9
E01020236,#,#,#
E01020237,#,#,5
E01020238,5,#,#
E01020239,9,#,0
E01020240,20,20,17
E01020241,17,17,8
E01020242,6,17,25
E01020243,#,11,16
E01020244,20,10,15
E01020245,11,10,5
E01020246,9,11,9
E01020247,23,15,35
E01020248,#,12,#
E01020249,#,6,#
E01020250,11,7,11
E01020251,9,6,#
E01020252,16,9,5
E01020253,12,6,9
E01020254,20,11,9
E01020255,5,6,12
E01020256,18,10,8
E01020257,#,5,#
E01020258,11,#,9
E01020259,#,#,#
E01020260,#,8,7
E01020261,#,7,7
E01020262,#,6,7
E01020263,#,0,0
E01020264,15,24,11
E01020265,#,5,#
E01020266,9,#,8
E01020267,10,15,17
E01020268,#,#,5
E01020269,22,8,9
E01020270,5,#,6
E01020271,17,13,11
E01020272,51,40,40
E01020273,6,5,7
E01020274,5,5,5
E01020275,5,7,#
E01020276,11,11,9
E01020277,55,25,39
E01020278,11,10,11
E01020279,48,42,36
E01020280,39,23,28
E01020281,7,15,12
E01020282,10,11,5
E01020283,14,10,5
E01020284,22,22,30
E01020285,33,27,17
E01020286,#,5,7
E01020287,9,7,9
E01020288,8,5,8
E01020289,8,#,#
E01020290,9,11,#
E01020291,9,#,#
E01020292,#,#,8
E01020293,19,13,12
E01020294,41,34,36
E01020295,11,9,8
E01020296,6,8,8
E01020297,30,10,17
E01020298,12,10,11
E01020299,5,7,6
E01020300,10,5,5
E01020301,8,6,8
E01020302,10,7,10
E01020303,14,6,8
E01020304,20,16,11
E01020305,12,10,6
E01020306,5,#,5
E01020307,31,21,15
E01020308,9,8,#
E01020309,5,5,5
E01020310,22,11,16
E01020311,16,12,14
E01020312,17,7,14
E01020313,7,8,#
E01020314,#,#,#
E01020315,#,7,#
E01020316,9,6,6
E01020317,#,7,#
E01020318,8,#,#
E01020319,7,5,9
E01020320,8,#,#
E01020321,25,15,16
E01020322,25,17,19
E01020323,18,18,13
E01020324,5,#,7
E01020325,17,13,#
E01020326,20,18,20
E01020327,17,7,15
E01020328,47,34,37
E01020329,16,18,14
E01020330,22,18,18
E01020331,14,6,8
E01020332,21,9,10
E01020333,19,15,12
E01020334,36,12,20
E01020335,17,6,13
E01020336,#,#,0
E01020337,13,8,8
E01020338,17,11,16
E01020339,13,7,10
E01020340,8,#,#
E01020341,#,8,#
E01020342,12,9,12
E01032628,8,7,8
E01032657,,,
E01032658,,,
E01033232,19,13,15
E01033233,19,9,13
E01033234,17,16,10
E01033235,6,8,#
E01033236,#,#,#
E07000040,1354,923,879
E07000041,1786,1284,1193
E07000042,833,603,621
E07000043,895,701,668
E07000044,502,388,387
E07000045,1101,928,961
E07000046,592,444,438
E07000047,452,307,321
E10000008,7515,5578,5468
E06000026,,,
E06000027,,,
IMDQ1,810,603,583
IMDQ2,2653,1843,1846
IMDQ3,2126,1567,1570
IMDQ4,1359,1105,1061
IMDQ5,567,460,408
E02003122,,,
E02003123,,,
E02003124,,,
E02003125,,,
E02003126,,,
E02003127,,,
E02003128,,,
E02003129,,,
E02003130,,,
E02003131,,,
E02003132,,,
E02003133,,,
E02003134,,,
E02003135,,,
E02003136,,,
E02003137,,,
E02003138,,,
E02003139,,,
E02003140,,,
E02003141,,,
E02003142,,,
E02003143,,,
E02003144,,,
E02003145,,,
E02003146,,,
E02003147,,,
E02003148,,,
E02003149,,,
E02003150,,,
E02003151,,,
E02003152,,,
E02003153,,,
E02003154,,,
E02003155,,,
E02003156,,,
E02003157,,,
E02003158,,,
E02003159,,,
E02003161,,,
E02003163,,,
E02003164,,,
E02003165,,,
E02003166,,,
E02003167,,,
E02003168,,,
E02003169,,,
E02003170,,,
E02003171,,,
E02004129,42,21,31
E02004130,98,44,75
E02004131,41,50,30
E02004132,63,53,49
E02004133,108,62,58
E02004134,121,104,119
E02004135,48,29,27
E02004136,53,41,46
E02004137,27,9,11
E02004138,58,27,37
E02004139,113,60,46
E02004140,21,25,10
E02004141,38,39,26
E02004142,27,22,24
E02004143,59,43,35
E02004144,80,53,51
E02004145,32,29,16
E02004146,139,104,93
E02004147,101,54,54
E02004148,85,54,41
E02004149,39,31,27
E02004150,111,75,99
E02004151,173,138,115
E02004152,61,46,53
E02004153,147,94,97
E02004154,101,70,57
E02004155,174,119,92
E02004156,153,112,126
E02004157,48,36,25
E02004158,147,98,78
E02004159,84,67,68
E02004160,103,83,76
E02004161,239,166,157
E02004162,93,56,42
E02004163,113,93,81
E02004164,25,17,26
E02004165,57,53,50
E02004166,39,39,29
E02004167,172,106,114
E02004168,122,72,73
E02004169,65,39,50
E02004170,91,84,70
E02004171,60,40,45
E02004172,53,43,49
E02004173,68,41,53
E02004174,81,69,62
E02004175,82,57,72
E02004176,33,27,18
E02004177,65,68,50
E02004178,16,11,8
E02004179,53,41,30
E02004180,33,34,21
E02004181,52,43,42
E02004182,123,92,86
E02004183,61,32,44
E02004184,138,111,112
E02004185,41,33,19
E02004186,48,41,53
E02004187,100,68,68
E02004188,50,43,45
E02004189,20,19,16
E02004190,55,50,52
E02004191,85,55,64
E02004192,27,18,17
E02004193,82,67,85
E02004194,33,31,24
E02004195,59,39,33
E02004196,24,26,24
E02004197,13,13,18
E02004198,64,39,38
E02004199,10,15,#
E02004200,30,16,13
E02004201,13,22,28
E02004202,74,74,70
E02004203,24,11,17
E02004204,63,37,49
E02004205,50,40,43
E02004206,56,42,50
E02004207,28,35,27
E02004208,31,32,39
E02004209,65,44,48
E02004210,105,85,71
E02004211,24,31,32
E02004212,70,69,67
E02004213,59,41,35
E02004214,98,77,92
E02004215,93,89,71
E02004216,86,77,76
E02004217,102,63,84
E02004218,39,44,52
E02004219,21,15,10
E02004220,51,35,34
E02004221,44,26,32
E02004222,56,49,45
E02004223,183,136,138
E02004224,29,26,32
E02004225,68,50,37
E02004226,48,33,35
E02004227,84,63,66
E02004228,29,26,19
E02004229,78,53,56
E02004230,102,77,84
E02004231,46,33,35
E02004232,43,26,19
E02004233,124,63,79
E02004234,24,27,24
E02004235,35,28,24
E02006840,,,
TOWN01,102,63,84
TOWN02,148,84,80
TOWN03,492,381,375
TOWN04,367,277,283
TOWN05,62,50,35
TOWN06,202,153,164
TOWN07,208,174,158
TOWN08,74,52,44
TOWN09,126,92,108
TOWN10,1955,1458,1378
TOWN11,531,371,322
TOWN12,100,71,58
TOWN13,113,89,85
TOWN14,198,122,139
TOWN15,182,149,138
TOWN16,162,138,153
TOWN17,107,76,61
TOWN18,5,5,5
TOWN19,21,10,17
TOWN20,642,547,543
TOWN21,236,164,183
TOWN22,114,94,103
TOWN23,85,45,56
TOWN24,158,105,67
TOWN25,125,90,91
TOWN26,232,155,152
TOWN27,148,135,131
TOWN28,461,306,326
TOWN29,159,122,129
DIV1,169,98,94
DIV2,125,84,97
DIV3,133,74,68
DIV4,196,145,141
DIV5,178,133,143
DIV6,37,33,29
DIV7,176,134,139
DIV8,92,77,76
DIV9,48,50,44
DIV10,62,50,35
DIV11,133,116,131
DIV12,74,38,54
DIV13,62,44,57
DIV14,62,54,32
DIV15,126,117,108
DIV16,106,56,76
DIV17,127,109,101
DIV18,86,57,50
DIV19,106,82,93
DIV20,61,44,50
DIV21,80,91,93
DIV22,117,83,57
DIV23,403,271,250
DIV24,289,208,187
DIV25,151,106,122
DIV26,60,59,40
DIV27,106,68,78
DIV28,225,166,137
DIV29,113,89,85
DIV30,147,125,122
DIV31,62,67,72
DIV32,82,67,85
DIV33,74,54,41
DIV34,102,70,74
DIV35,182,166,166
DIV36,186,163,158
DIV37,95,61,66
DIV38,145,103,103
DIV39,82,73,67
DIV40,264,200,197
DIV41,44,34,27
DIV42,97,46,58
DIV43,140,90,61
DIV44,66,67,75
DIV45,128,91,98
DIV46,166,131,122
DIV47,183,123,115
DIV48,124,63,79
DIV49,136,117,110
DIV50,222,142,160
DIV51,161,108,103
DIV52,116,83,72
DIV53,113,76,80
DIV54,148,115,102
DIV55,98,64,65
DIV56,91,71,73
DIV57,281,199,189
DIV58,77,73,61
CHSCTAXE,391,234,203
CHSCTBARNSTAPLE,436,327,337
CHSCTBIDEFORD,411,322,305
CHSCTBRAUNTON,249,204,178
CHSCTCREDITON,177,145,151
CHSCTCULLOMPTON,263,202,187
CHSCTDAWLISH,249,218,220
CHSCTEXETERCHALL,942,752,673
CHSCTEXETERSYCAMORE,1026,726,729
CHSCTEXMOUTH,531,371,322
CHSCTHONITON,286,193,218
CHSCTIVYBRIDGE,180,156,185
CHSCTKINGSBRIDGE,107,76,61
CHSCTNABBOT,639,535,531
CHSCTOKE,249,176,191
CHSCTSMOLTON,154,111,120
CHSCTTAVISTOCK,235,153,152
CHSCTTEIGN,122,88,105
CHSCTTIVERTON,458,295,319
CHSCTTORRINGTON,225,169,159
CHSCTTOTNES,185,125,122
Eastern,4289,3063,2972
Northern,1487,1145,1106
Southern,1216,985,989
Western,523,385,401
