Area,2014,2015,2016
E01019904,0.029070256,0.025666439,0.019802504
E01019905,0.016155341,0.015587353,0.016155341
E01019906,0.026260791,0.025545557,0.024797038
E01019907,0.025691883,0.019389358,0.020483706
E01019908,0.018137487,0.015825027,0.014621097
E01019909,0.025348542,0.016885867,0.018728489
E01019910,0.02780656,0.023651291,0.024120116
E01019911,0.03059323,0.036603632,0.035262202
E01019912,0.028011935,0.024742276,0.020586202
E01019913,#,0.020397366,0.020397366
E01019914,0.02232589,0.02007342,0.017337909
E01019915,0.026982135,0.019163521,0.021546277
E01019916,0.018750028,0.014983545,0.016580931
E01019917,0.023861956,0.016310411,0.019951637
E01019918,0.025163949,0.021369345,0.01689588
E01019919,0.022280502,0.018742492,0.016249173
E01019920,0.027301359,0.026509818,0.026098968
E01019921,0.024683643,0.024683643,0.022362978
E01019922,0.033462419,0.025753488,0.026143914
E01019923,0.03516001,0.031762082,0.03237306
E01019924,0.020828424,0.019996966,0.016569969
E01019925,#,0.017834044,0.021460452
E01019927,0.032667164,0.020771776,0.030765378
E01019928,0.026579586,0.029781536,0.02258647
E01019929,0.020296081,0.022806102,0.020967156
E01019930,0.020522862,0.021678428,#
E01019931,0.022744003,#,#
E01019932,0.035711853,0.023836249,0.026067327
E01019933,0.026043952,#,0.023796764
E01019934,0.027695744,0.027211376,0.031140298
E01019935,0.027789955,#,#
E01019936,0.036769833,#,#
E01019937,0.021599954,0.02021997,0.014843059
E01019938,0.017738401,0.016186498,0.018213373
E01019939,0.019935277,0.021632627,#
E01019940,#,#,0.018788561
E01019942,0.021511029,0.015849858,0.018997679
E01019943,0.024252896,0.019838317,0.018629485
E01019944,#,0.019139207,0.022049374
E01019945,0.012997353,0.015208368,0.014524367
E01019946,0.044870058,0.032532178,0.035954102
E01019947,0.030789108,0.023796198,0.02289654
E01019948,0.027002632,#,#
E01019949,#,#,#
E01019950,0.042954555,0.034134675,0.041285046
E01019951,0.018212073,0.017234946,0.017234946
E01019952,0.027813765,0.025600631,0.019910258
E01019953,0.033977475,0.032247369,0.027051882
E01019954,0.027576089,0.02041465,0.017434866
E01019955,0.033893489,0.024640004,0.027467433
E01019956,#,0.02438713,#
E01019957,0.033823689,0.035439737,#
E01019958,0.023847647,0.023145679,#
E01019959,0.031127357,0.030393171,0.027991852
E01019960,0.02370106,0.020905806,0.0173696
E01019961,0.016826244,0.01320316,0.012034712
E01019962,0.017742764,0.01618378,0.015494962
E01019963,0.018991438,0.017493001,0.015768061
E01019964,#,#,0.006035457
E01019965,0.018679163,0.016019631,0.014747879
E01019966,0.031699246,0.016933141,0.016933141
E01019967,0.027738813,0.025784626,0.027738813
E01019968,0.023721505,0.017881858,0.018894302
E01019969,0.030664099,0.020522862,0.027170292
E01019970,0.016355916,#,#
E01019971,0.029600827,0.027032353,0.020756742
E01019972,0.023537526,0.020539406,0.016668692
E01019973,0.019540179,#,#
E01019974,0.029430176,0.027491896,0.021808871
E01019975,0.02944238,0.025302917,0.021874685
E01019976,0.022662693,0.022662693,0.023350952
E01019977,0.024670713,0.022455478,0.025860574
E01019980,0.021562337,0.01757104,0.021824908
E01019981,0.028684952,0.027394408,0.024758945
E01019982,0.02751375,0.021799823,0.021491697
E01019983,0.021400701,0.017871966,0.016110868
E01019984,0.019507536,#,#
E01019985,0.02732539,0.026086786,0.024452199
E01019986,0.026133931,0.018660537,0.021400701
E01019987,0.01363037,0.011795628,0.009962824
E01019988,0.024440344,0.021606953,0.021606953
E01019989,0.025450675,0.025450675,0.02621748
E01019990,0.024223109,0.023437104,0.023165319
E01019991,0.02477402,0.018546257,0.023911174
E01019992,0.027494376,0.0222616,0.021455965
E01019993,0.022835588,0.02120848,0.022045312
E01019994,0.012674853,0.011826047,0.013814042
E01019995,0.024136145,0.018581724,0.017038594
E01019996,0.022773647,0.021150724,#
E01019997,0.008594648,#,#
E01019998,0.022305591,0.022305591,0.020226215
E01019999,0.014689517,0.015956415,#
E01020000,0.024038394,0.019958301,0.022429116
E01020001,#,#,#
E01020002,0.022871132,0.021846336,0.02035219
E01020003,0.024363062,0.025451602,0.017176442
E01020004,0.021870422,0.017404086,0.01646891
E01020005,0.026509672,0.024645448,0.024949751
E01020006,0.018222001,0.015825934,0.014700678
E01020007,#,#,#
E01020008,0.010210398,0.007465543,0.006716271
E01020009,0.014538084,0.013918406,0.012537117
E01020010,0.027398929,0.021351158,0.021757196
E01020011,0.033361691,#,0.028092508
E01020012,0.02762763,0.026114508,0.021487622
E01020013,0.029827889,0.020954687,0.025223574
E01020014,0.028070502,0.027871928,0.025490047
E01020015,0.02334226,0.0214118,0.020239119
E01020016,0.02364131,0.020152154,0.02322406
E01020017,0.011953362,0.011220701,0.010416588
E01020018,0.017849096,0.017849096,0.019096086
E01020019,0.005984829,0.00538265,0.00698521
E01020020,0.010098342,0.010810438,0.010580332
E01020021,0.008752574,#,0.010573446
E01020022,0.011774024,0.009363516,0.008673283
E01020023,0.01757104,0.01603004,0.015171899
E01020024,0.018775848,0.018775848,0.017889102
E01020025,0.022654889,0.018403545,0.016591819
E01020026,0.019290925,0.019290925,0.020448275
E01020027,0.018526627,0.013924466,0.014719286
E01020029,0.017322314,0.017899567,0.0160728
E01020030,0.02041465,0.019731947,0.02041465
E01020031,0.021406372,0.018143766,0.016124304
E01020032,0.027865954,0.018395325,0.017617525
E01020033,0.025185888,0.024764281,0.025392142
E01020035,0.015073824,0.011552931,0.012019412
E01020036,0.028377667,0.023484421,0.020274438
E01020037,0.028908093,0.029752714,0.028016294
E01020038,0.018933505,0.022916149,0.023483312
E01020039,0.025680666,0.021112297,0.016352659
E01020040,0.026445767,0.023207502,0.023911223
E01020041,0.017697414,0.017480667,0.017034841
E01020042,0.01675858,#,#
E01020043,0.019774632,0.016851631,0.017494874
E01020044,#,0.008723908,#
E01020045,0.024322289,0.021327476,0.019167151
E01020046,0.016705795,#,0.02058499
E01020047,0.0199714,0.0199714,0.0199714
E01020048,0.025445148,0.020511083,0.01908844
E01020049,0.012905019,#,#
E01020050,0.020195764,0.016058335,#
E01020051,0.023182484,0.021369548,#
E01020052,0.024138838,0.021646402,0.023882321
E01020053,0.02139251,0.019261029,0.020579827
E01020054,0.014892588,0.016601095,0.013576948
E01020055,0.019786643,0.021916212,0.019396456
E01020056,0.013763582,0.01310712,0.015499
E01020057,0.019601417,0.016221645,0.018266477
E01020058,0.019875746,0.017670518,0.014958175
E01020059,0.017123654,0.013781143,0.016798608
E01020060,0.023410735,0.021748182,0.020521385
E01020061,0.018749249,0.017104297,0.016187393
E01020062,0.020320636,#,0.017552445
E01020063,0.016457562,0.017010728,0.015262249
E01020064,0.01771809,0.014856092,0.016727602
E01020065,0.018368639,0.010603273,0.013648383
E01020066,0.01060926,0.010003278,0.011171602
E01020067,0.021859802,0.019426673,0.017427143
E01020068,0.023343508,0.020771776,0.021682131
E01020069,0.023544824,0.018470976,0.023544824
E01020070,0.023336524,#,0.015917822
E01020071,0.021166264,0.018388869,0.015940558
E01020072,0.020626733,0.016302295,0.017024201
E01020073,0.022599468,0.019927233,0.023769549
E01020074,0.012548047,0.011867803,0.011867803
E01020075,0.0165364,0.01600134,0.013534249
E01020076,0.01864249,0.01864249,0.016569969
E01020077,0.016021897,0.015158795,0.016021897
E01020078,0.031523441,0.021346126,0.02245567
E01020079,0.027555029,0.028044858,0.027555029
E01020080,0.033827032,0.034750034,0.029618134
E01020081,0.025394758,0.022411775,0.026059323
E01020082,0.029395627,0.030209049,0.032452987
E01020083,0.015067981,0.015646692,0.015361233
E01020084,0.01944809,0.020816431,0.020149929
E01020085,#,0.016695336,0.012925908
E01020086,0.019262952,#,0.018354086
E01020087,0.021503333,0.018750647,0.021503333
E01020088,0.014898168,0.015441967,0.012351362
E01020089,0.012862304,0.010867644,0.01027672
E01020090,0.016664732,#,#
E01020091,#,0.020211921,#
E01020092,#,0.025264257,#
E01020093,0.025618511,0.024868003,0.025618511
E01020094,0.028484659,0.024855046,0.023921711
E01020095,0.021876,0.02049624,0.021203344
E01020096,0.023142197,0.017762199,0.019457501
E01020097,0.015064688,0.013205178,#
E01020098,0.018708624,0.019208164,0.017645026
E01020099,#,0.022159124,#
E01020100,#,#,#
E01020101,0.031995944,0.027028867,0.022964234
E01020102,0.016631493,0.013899485,0.015353795
E01020103,0.024433674,0.022751634,0.022551376
E01020104,0.025867031,0.019551444,0.024628966
E01020105,0.021417536,0.020287147,0.017683233
E01020106,0.036440029,0.040235821,#
E01020107,0.029945441,0.02358805,0.021745008
E01020108,0.013061337,#,#
E01020109,#,0.017978259,#
E01020110,0.011042253,0.008723076,0.007162049
E01020111,0.026092775,0.024013953,0.026727968
E01020112,0.031080195,0.02524404,0.027683107
E01020113,0.022357321,0.027202046,0.022825546
E01020114,0.022773647,0.021150724,0.019307591
E01020115,0.024342382,#,0.026953715
E01020116,0.02316534,0.018107052,0.020869312
E01020117,0.023097706,0.022016343,#
E01020118,0.023190475,0.023982269,0.02100002
E01020119,#,0.024078791,#
E01020120,0.016727491,0.015617455,0.016186498
E01020121,0.020953245,0.016915424,0.021869097
E01020122,#,#,#
E01020123,0.03311258,0.023672585,0.031188449
E01020124,0.029533473,0.027901992,#
E01020125,#,#,0.024431532
E01020126,0.023159248,0.023159248,0.023159248
E01020127,0.017603153,0.018528706,0.013586337
E01020128,0.024204486,0.021223271,0.01646891
E01020129,0.028136008,0.026275524,0.029272224
E01020130,0.017772538,0.021528478,0.017277097
E01020131,0.021022349,0.015380136,0.014432853
E01020132,0.019773976,0.018470976,0.017764134
E01020133,#,#,#
E01020134,0.024009015,0.024640004,0.024640004
E01020135,0.025454865,0.024085245,0.022175833
E01020136,0.020431884,0.01710379,0.018877686
E01020137,0.023904283,0.022463519,0.02521997
E01020138,0.019354214,0.018122725,0.018442119
E01020139,0.029278448,0.025620544,0.025099831
E01020140,0.032321133,0.033148401,0.031456289
E01020141,0.023955254,0.020416359,0.019533462
E01020142,0.010105421,0.012649046,0.011727431
E01020143,0.013899485,0.012791278,0.013362212
E01020144,#,#,#
E01020145,0.012044184,0.012582666,0.012582666
E01020146,#,#,0.011497281
E01020147,#,0.010635444,0.010635444
E01020148,0.022999549,#,#
E01020149,0.021006828,0.021006828,0.021006828
E01020150,0.025380385,0.022751474,0.01879603
E01020151,#,0.028141604,#
E01020152,0.040391274,0.035098623,#
E01020153,0.038322965,#,#
E01020154,0.01774791,0.012511038,0.01409353
E01020155,0.03872165,0.034720171,0.031043162
E01020156,0.015682458,#,0.014937263
E01020157,0.014069902,0.015842786,0.013572867
E01020158,0.018011342,0.018011342,0.016432042
E01020159,#,#,#
E01020160,0.019360542,0.015701977,0.014565354
E01020161,0.019904415,0.014642038,0.018621778
E01020162,0.01717749,0.018923872,0.017638188
E01020163,0.013061337,0.016979221,0.017382596
E01020164,0.018871812,#,0.014626863
E01020165,0.013825779,0.015162637,0.015769725
E01020166,#,#,#
E01020167,0.015124419,#,0.016781314
E01020168,0.024413764,0.018431322,0.017212999
E01020169,0.018610588,0.015007441,0.014675306
E01020170,0.014806705,0.013339581,#
E01020171,#,#,0.022400964
E01020172,0.024122371,0.018634483,0.019455251
E01020173,0.02838102,#,#
E01020174,#,0.021745008,#
E01020175,#,#,#
E01020176,#,#,#
E01020177,0.029176021,0.029176021,0.033756275
E01020178,#,#,#
E01020179,0.022712041,0.018223869,#
E01020180,0.020719713,0.017292319,0.016890934
E01020181,0.026136943,0.018957512,0.021916799
E01020182,0.019182946,0.022616035,0.022099356
E01020183,0.032617272,0.021868538,#
E01020184,#,0.018694221,0.023473178
E01020185,#,#,#
E01020186,#,#,#
E01020187,0.015064744,0.015064744,0.015064744
E01020188,0.016412513,0.014160998,0.015715655
E01020189,0.016472408,0.017022551,0.018050437
E01020190,0.019809216,0.020304207,0.020781629
E01020191,0.020598909,#,#
E01020192,#,0.020211921,#
E01020193,#,0.016055514,#
E01020194,0.021495144,0.020901887,0.016625494
E01020195,0.018006134,0.013534249,0.01972577
E01020196,0.029080057,0.024464724,0.026155309
E01020197,0.026053577,0.027503261,0.027503261
E01020198,0.025810137,0.019504111,0.025285904
E01020199,0.028114837,0.024596129,0.022929606
E01020200,#,#,#
E01020201,0.030670242,0.028049315,0.034015397
E01020202,#,0.022200061,0.022200061
E01020203,0.010604869,0.010604869,#
E01020204,0.017262622,0.01963187,0.015223428
E01020205,#,#,0.013928249
E01020206,0.022936122,0.022936122,0.023540887
E01020207,0.024412656,0.022604337,0.023077337
E01020208,0.026061141,0.025557964,0.026549111
E01020209,0.024793726,0.021950085,0.019052326
E01020210,0.026773535,#,#
E01020211,0.025198808,0.024072243,0.022201885
E01020212,0.037557715,0.031645339,0.029795231
E01020213,0.028236642,0.030821485,0.03041684
E01020214,0.029514598,0.029514598,0.031602362
E01020215,#,#,#
E01020216,0.023769177,0.023340318,0.021726282
E01020217,0.021825329,0.019933966,0.0253468
E01020218,0.026968109,0.025204925,0.023214663
E01020219,0.016577612,0.019171476,0.01938217
E01020220,0.01928619,0.015232007,0.017717011
E01020221,0.020304207,0.016995958,0.014101115
E01020222,#,#,#
E01020223,0.02420903,#,0.022589146
E01020224,0.021186815,0.016338169,0.023515065
E01020225,0.028700047,0.023410735,0.024907176
E01020226,0.028110171,0.033689961,#
E01020227,0.022643496,0.024485811,0.023896212
E01020228,0.028983167,#,0.024626514
E01020229,0.018410268,0.017897916,0.019375897
E01020230,0.023110276,0.019313056,0.020959978
E01020231,0.023721505,0.023721505,0.02228995
E01020232,0.01529916,0.013459907,0.013459907
E01020233,0.024228014,0.021868538,0.023096369
E01020234,0.027881873,0.024968917,0.027202046
E01020235,0.020214852,0.021769762,0.021014431
E01020236,#,#,#
E01020237,#,#,0.016110868
E01020238,0.021446669,#,#
E01020239,0.026526913,#,0.012385096
E01020240,0.03357262,0.03357262,0.031708485
E01020241,0.021511029,0.021511029,0.016552453
E01020242,0.012328929,0.017619582,0.020345297
E01020243,#,0.030442628,0.034583985
E01020244,0.030394858,0.02387452,0.027449193
E01020245,0.024868003,0.024079926,0.019333157
E01020246,0.029527511,0.031547269,0.029527511
E01020247,0.024234288,0.020736131,0.028319129
E01020248,#,0.024769623,#
E01020249,#,0.024712681,#
E01020250,0.021974835,0.018919374,0.021974835
E01020251,0.019589397,0.017192211,#
E01020252,0.027017505,0.022166128,0.018425242
E01020253,0.017079615,0.013560243,0.015468096
E01020254,0.024630496,0.019909942,0.0185984
E01020255,0.019851003,0.020970321,0.026294324
E01020256,0.027946817,0.022773647,0.021150724
E01020257,#,0.021174348,#
E01020258,0.021754729,#,0.020327879
E01020259,#,#,#
E01020260,#,0.031414134,0.030123542
E01020261,#,0.028837245,0.028837245
E01020262,#,0.028502011,0.029881211
E01020263,#,0.012683171,0.012683171
E01020264,0.0279206,0.032989172,0.025083355
E01020265,#,0.016800796,#
E01020266,0.018018323,#,0.017328107
E01020267,0.025087136,0.028828192,0.030122856
E01020268,#,#,0.020090166
E01020269,0.038227047,0.027135562,0.028190371
E01020270,0.015918602,#,0.016823554
E01020271,0.021601888,0.019622858,0.018509876
E01020272,0.021448806,0.019512204,0.019512204
E01020273,0.020543295,0.019445886,0.021555644
E01020274,0.021446669,0.021446669,0.021446669
E01020275,0.02625867,0.02906289,#
E01020276,0.024797038,0.024797038,0.023182484
E01020277,0.022844232,0.016838244,0.019994014
E01020278,0.017899567,0.017322314,0.017899567
E01020279,0.016426166,0.015574454,0.014648808
E01020280,0.019140091,0.015603872,0.016828028
E01020281,0.01283551,0.016688456,0.015406568
E01020282,0.019315367,0.01995568,0.015475361
E01020283,0.029090864,0.025939579,0.020843517
E01020284,0.01672512,0.01672512,0.018828859
E01020285,0.018480007,0.017101365,0.014354211
E01020286,#,0.014405703,0.015986372
E01020287,0.022045312,0.020317102,0.022045312
E01020288,0.019504111,0.016843224,0.019504111
E01020289,0.025199145,#,#
E01020290,0.021866536,0.023394969,#
E01020291,0.019589397,#,#
E01020292,#,#,0.021383655
E01020293,0.018453291,0.016071362,0.015621341
E01020294,0.023565369,0.0219375,0.022422299
E01020295,0.020967156,0.019589397,0.018841633
E01020296,0.019962563,0.021865247,0.021865247
E01020297,0.031372433,0.021219516,0.02553833
E01020298,0.021555018,0.020247129,0.020916672
E01020299,0.019851003,0.022002728,0.020970321
E01020300,0.024790873,0.019910258,0.019910258
E01020301,0.014376579,0.01310712,0.014376579
E01020302,0.019226884,0.01709034,0.019226884
E01020303,0.0267942,0.020248767,0.02217741
E01020304,0.020468566,0.018859383,0.016504975
E01020305,0.029785907,0.028016403,0.023796764
E01020306,0.017598759,#,0.017598759
E01020307,0.023339288,0.020161562,0.017817365
E01020308,0.018470976,0.017764134,#
E01020309,0.017015102,0.017015102,0.017015102
E01020310,0.033490531,0.026297869,0.029928539
E01020311,0.021404902,0.019325242,0.02040513
E01020312,0.035560673,0.026473371,0.03326436
E01020313,0.01849523,0.019310127,#
E01020314,#,#,#
E01020315,#,0.020372845,#
E01020316,0.019401439,0.017026388,0.017026388
E01020317,#,0.025474568,#
E01020318,0.025530409,#,#
E01020319,0.019619236,0.017692124,0.021290994
E01020320,0.023169737,#,#
E01020321,0.01892398,0.015643626,0.016016778
E01020322,0.02249509,0.01950126,0.020313484
E01020323,0.023544824,0.023544824,0.020958655
E01020324,0.02348539,#,0.026009836
E01020325,0.024855945,0.022599468,#
E01020326,0.019621051,0.018871352,0.019621051
E01020327,0.021287189,0.015682458,0.020346588
E01020328,0.017209632,0.015138521,0.015652455
E01020329,0.028807809,0.030031335,0.027491896
E01020330,0.02278473,0.021162872,0.021162872
E01020331,0.023083223,0.017404086,0.019073004
E01020332,0.026195489,0.01944809,0.020149929
E01020333,0.020828424,0.019109973,0.01765126
E01020334,0.024566146,0.01636265,0.019691954
E01020335,0.027604861,0.019467273,0.025118622
E01020336,#,#,0.013519876
E01020337,0.020005382,0.016949882,0.016949882
E01020338,0.014496697,0.012385606,0.014175386
E01020339,0.023282947,0.018919374,0.021273286
E01020340,0.018011342,#,#
E01020341,#,0.022762343,#
E01020342,0.020379359,0.018470976,0.020379359
E01032628,0.014958175,0.014321144,0.014958175
E01032657,,,
E01032658,,,
E01033232,0.018877334,0.0164434,0.017310988
E01033233,0.002086645,0.00158291,0.00180629
E01033234,0.020194393,0.019754388,0.016735163
E01033235,0.031140375,0.03402732,#
E01033236,#,#,#
E07000040,0.002209764,0.001847754,0.001805911
E07000041,0.001885283,0.001615,0.001560033
E07000042,0.002602609,0.002240155,0.002271019
E07000043,0.002376452,0.002120992,0.002073809
E07000044,0.002210915,0.001961343,0.001958992
E07000045,0.002059575,0.00190136,0.001932723
E07000046,0.002927035,0.002563067,0.002546996
E07000047,0.003250876,0.002721922,0.002778255
E10000008,0.000818278,0.000709754,0.000703009
E06000026,,,
E06000027,,,
IMDQ1,0.005052309,0.004429374,0.004362647
IMDQ2,0.001942094,0.001638601,0.001639853
IMDQ3,0.001411588,0.00122176,0.001222869
IMDQ4,0.001507904,0.001367459,0.001341416
IMDQ5,0.001564537,0.001418259,0.001340692
E02003122,,,
E02003123,,,
E02003124,,,
E02003125,,,
E02003126,,,
E02003127,,,
E02003128,,,
E02003129,,,
E02003130,,,
E02003131,,,
E02003132,,,
E02003133,,,
E02003134,,,
E02003135,,,
E02003136,,,
E02003137,,,
E02003138,,,
E02003139,,,
E02003140,,,
E02003141,,,
E02003142,,,
E02003143,,,
E02003144,,,
E02003145,,,
E02003146,,,
E02003147,,,
E02003148,,,
E02003149,,,
E02003150,,,
E02003151,,,
E02003152,,,
E02003153,,,
E02003154,,,
E02003155,,,
E02003156,,,
E02003157,,,
E02003158,,,
E02003159,,,
E02003161,,,
E02003163,,,
E02003164,,,
E02003165,,,
E02003166,,,
E02003167,,,
E02003168,,,
E02003169,,,
E02003170,,,
E02003171,,,
E02004129,0.011423021,0.008670596,0.010106934
E02004130,0.014547447,0.010461758,0.013031096
E02004131,0.010038784,0.010889073,0.008847433
E02004132,0.00789703,0.00734269,0.007105251
E02004133,0.010647915,0.008421754,0.008188883
E02004134,0.010152863,0.009519852,0.010081247
E02004135,0.008940064,0.007277337,0.007072145
E02004136,0.007847234,0.007052229,0.007396817
E02004137,0.011383617,0.007572829,0.008122177
E02004138,0.013369466,0.009819021,0.011136176
E02004139,0.014401556,0.011082571,0.009930913
E02004140,0.012609042,0.013483907,0.009607768
E02004141,0.009014347,0.00911037,0.00773743
E02004142,0.005767351,0.005317037,0.005502807
E02004143,0.010616634,0.009316092,0.008565056
E02004144,0.011088096,0.009336564,0.009188587
E02004145,0.011606171,0.011161319,0.008872592
E02004146,0.011474156,0.010151269,0.009681413
E02004147,0.010138291,0.007781809,0.007781809
E02004148,0.012487566,0.010343145,0.009233953
E02004149,0.002278695,0.002071346,0.001957633
E02004150,0.007818304,0.006604069,0.007441851
E02004151,0.010605687,0.009633808,0.008911025
E02004152,0.003613359,0.003202883,0.003401835
E02004153,0.010023728,0.008279506,0.008391629
E02004154,0.00630083,0.0053764,0.004923445
E02004155,0.011408796,0.00971351,0.008703725
E02004156,0.007102429,0.006197869,0.006524959
E02004157,0.008909522,0.007915586,0.00683534
E02004158,0.009912142,0.008333591,0.007557953
E02004159,0.006505107,0.005902697,0.005940266
E02004160,0.010333538,0.00943091,0.009085733
E02004161,0.011318895,0.009703591,0.009475183
E02004162,0.010038562,0.008104339,0.0071887
E02004163,0.012213755,0.01125721,0.01062294
E02004164,0.007409589,0.006379748,0.007525653
E02004165,0.007885913,0.007648768,0.007464506
E02004166,0.008095654,0.008095654,0.007178236
E02004167,0.01012464,0.008229229,0.008490553
E02004168,0.012975767,0.010408912,0.010469229
E02004169,0.0087339,0.007058048,0.007823925
E02004170,0.008427422,0.00814417,0.007535286
E02004171,0.008099548,0.00683884,0.007180829
E02004172,0.00976641,0.008958266,0.009454101
E02004173,0.009216778,0.007462461,0.008301986
E02004174,0.008855481,0.00827346,0.007907694
E02004175,0.012583844,0.010821779,0.011922714
E02004176,0.011301828,0.010436154,0.008918959
E02004177,0.010402451,0.010600228,0.009326887
E02004178,0.007361428,0.006417302,0.005746579
E02004179,0.006102409,0.005479855,0.004819209
E02004180,0.008448011,0.00855066,0.007060497
E02004181,0.010081523,0.00932191,0.009232343
E02004182,0.012137213,0.010744437,0.010443654
E02004183,0.0122526,0.009416919,0.010714547
E02004184,0.008406389,0.007652189,0.007681889
E02004185,0.011776194,0.010790293,0.008689404
E02004186,0.006892229,0.006454607,0.007184403
E02004187,0.008538694,0.00724176,0.00724176
E02004188,0.010487596,0.009857467,0.010042918
E02004189,0.006291698,0.00616822,0.005776884
E02004190,0.008210468,0.007889825,0.008020074
E02004191,0.009229329,0.007678648,0.008184549
E02004192,0.007615759,0.006499955,0.006359897
E02004193,0.0054488,0.004993576,0.005534358
E02004194,0.008060294,0.007859324,0.007096717
E02004195,0.012685357,0.010711806,0.010013311
E02004196,0.007126947,0.007356338,0.007126947
E02004197,0.007388955,0.007388955,0.008342205
E02004198,0.010613622,0.008648181,0.008556855
E02004199,0.007752551,0.008972881,#
E02004200,0.0128018,0.010051633,0.009311949
