Area,2011,2012,2013,2014,2015,2016,2017
E01015218,,,,,,,
E01015219,,,,,,,
E01015220,,,,,,,
E01015221,,,,,,,
E01015222,,,,,,,
E01015223,,,,,,,
E01015224,,,,,,,
E01015225,,,,,,,
E01015226,,,,,,,
E01015227,,,,,,,
E01015228,,,,,,,
E01015229,,,,,,,
E01015230,,,,,,,
E01015231,,,,,,,
E01015232,,,,,,,
E01015233,,,,,,,
E01015234,,,,,,,
E01015235,,,,,,,
E01015236,,,,,,,
E01015237,,,,,,,
E01015238,,,,,,,
E01015239,,,,,,,
E01015240,,,,,,,
E01015241,,,,,,,
E01015242,,,,,,,
E01015243,,,,,,,
E01015244,,,,,,,
E01015245,,,,,,,
E01015246,,,,,,,
E01015247,,,,,,,
E01015248,,,,,,,
E01015249,,,,,,,
E01015250,,,,,,,
E01015251,,,,,,,
E01015252,,,,,,,
E01015253,,,,,,,
E01015254,,,,,,,
E01015255,,,,,,,
E01015256,,,,,,,
E01015257,,,,,,,
E01015258,,,,,,,
E01015259,,,,,,,
E01015260,,,,,,,
E01015261,,,,,,,
E01015262,,,,,,,
E01015263,,,,,,,
E01015264,,,,,,,
E01015265,,,,,,,
E01015266,,,,,,,
E01015267,,,,,,,
E01015268,,,,,,,
E01015269,,,,,,,
E01015270,,,,,,,
E01015271,,,,,,,
E01019886,#,0.011346709,#,#,0.012252528,0.011423484,0.013125355
E01019887,#,#,#,#,#,0.016034455,0.026700087
E01019888,0.039805776,0.040444258,0.030920724,0.042953901,0.041176483,0.04901433,0.049728196
E01019889,0,#,#,#,0.025663352,#,#
E01019890,#,#,#,0,0,0,#
E01019891,#,0.016504705,#,0.015034915,0.014836726,0.016671298,#
E01019892,#,#,0.015930822,#,#,0.008229292,0.011901535
E01019893,#,0.015339579,0.013901831,#,0.012721366,0.014400739,0.010838928
E01019894,#,#,#,0.034248992,#,#,#
E01019895,0,0,0,0,0,#,#
E01019896,0,0,#,#,0,0,#
E01019897,0.012618846,#,#,#,#,#,0.014076383
E01019898,0.022753258,0.02223548,0.024234323,0.021740739,0.027134089,0.021507353,#
E01019899,#,0.019452179,#,#,0,0,0
E01019900,#,#,0.019910986,#,#,0,#
E01019901,0,0,0,0,0,0,0
E01019902,#,0,#,#,0,#,#
E01019903,#,#,0,0,#,#,0
E01019904,0.016736638,0.017460312,0.019180117,0.020128418,0.018595372,0.014902206,0.016893745
E01019905,#,#,#,#,0.012810343,0.018085388,#
E01019906,0.018194419,0.019910986,0.019230615,0.018493361,#,#,#
E01019907,#,0,#,#,#,#,#
E01019908,#,#,0,0,#,0.010526359,#
E01019909,0.020221443,#,#,#,#,0.016424424,0.022753258
E01019910,0.013638207,#,#,0.016043251,#,#,0.012584007
E01019911,#,#,#,#,#,0.035550407,0.039737605
E01019912,0.020641262,0.02940698,0.035126128,0.019564887,0.025663352,0.028285727,0.035002343
E01019913,0.03459989,#,0.038549374,#,#,#,0
E01019914,#,#,#,0.013210783,0.015707453,0.015000496,0.01799526
E01019915,#,0.017176356,#,0.018015526,0.021406099,#,#
E01019916,0.055173234,0.053925498,0.048598544,0.041504738,0.04475174,0.05056787,0.04521965
E01019917,0.021419372,0.021326709,0.016280963,#,#,0.017261444,0.020252714
E01019918,0.043915204,0.033932965,0.027824596,0.024530995,0.031484874,0.027519009,0.026986826
E01019919,0.018112604,0.025864577,0.030268587,0.03214047,0.028668795,0.026737348,0.028999929
E01019920,0.025584479,0.025233035,0.026426589,0.023311635,0.02619888,0.025755029,#
E01019921,#,0,0,#,#,0.015789656,0.019135954
E01019922,#,#,#,#,0.013007742,0.014396505,0.013211319
E01019923,#,#,#,#,0.01929687,#,#
E01019924,#,#,#,0.016454633,0.01939704,0.017580123,0.021935971
E01019925,0,0,0,0,0,0,0
E01019927,0.022631018,#,#,0.027323033,0.02861705,0.030794896,0.029075283
E01019928,0,#,#,#,#,#,0.01704537
E01019929,#,#,#,#,#,#,0.015518607
E01019930,#,0.020029089,#,0.020391956,#,#,#
E01019931,#,#,#,#,#,#,#
E01019932,0.025774319,0.038007552,0.039973915,0.03870116,0.03061384,0.031780874,0.030397287
E01019933,0.027701097,#,#,#,#,#,0
E01019934,0.017199741,0.014968266,0.020114371,0.015238469,0.017957204,0.019459827,0.016188199
E01019935,0.034267734,0.035550407,#,#,#,#,#
E01019936,0,0,0,#,#,#,0
E01019937,#,#,#,#,#,0,#
E01019938,#,#,#,#,#,#,#
E01019939,0,0,0,#,#,#,#
E01019940,#,#,#,#,#,#,#
E01019942,#,#,#,#,#,#,#
E01019943,#,#,#,#,#,#,0
E01019944,#,0.015771399,0.014272317,0.014904951,0.016155292,0.019041935,0.020127909
E01019945,#,#,0.013315516,0.015577356,#,#,#
E01019946,0.032596095,#,#,#,#,#,#
E01019947,0.060357469,0.059596178,0.054972871,0.051941715,0.057541499,0.055768315,0.046389361
E01019948,0,#,#,0.027321625,#,0.028235412,0.03169466
E01019949,#,#,#,#,0.028715614,0.032232501,0.02946734
E01019950,#,#,#,#,#,#,#
E01019951,#,#,#,0.018907572,#,#,#
E01019952,#,#,#,#,0,#,#
E01019953,#,#,#,#,#,#,0
E01019954,0.016454633,0.013007742,#,0.013901831,0.016246029,0.017584506,0.021416088
E01019955,0.023295719,0.024779187,0.027753254,0.024784543,0.02538888,0.022575191,0.030738281
E01019956,0.040504421,0.041908687,0.035642909,0.030753364,0.033826748,0.036261818,0.046016531
E01019957,#,#,#,#,#,#,0
E01019958,#,#,#,0.018634198,#,0.015447612,#
E01019959,#,#,#,#,#,#,0
E01019960,0,#,#,#,0.017089425,#,0
E01019961,0,#,#,#,#,#,#
E01019962,#,#,0.010307573,#,#,#,#
E01019963,#,#,#,#,0,0,0
E01019964,0,0,0,0,0,0,0
E01019965,0.019648511,0.015513731,#,#,0.012666181,#,#
E01019966,0,0,0,0,0,0,0
E01019967,0,0,0,0,0,0,#
E01019968,0.030023745,0.028885055,0.026986826,0.035647273,0.027323033,0.024463599,0.019564887
E01019969,#,#,#,#,#,0.023034997,0.023353616
E01019970,#,0.029446176,0.02212925,0.021292033,#,#,0.028885055
E01019971,0.056026662,0.054475133,0.06259334,0.062715065,0.063129343,0.066507893,0.065257858
E01019972,#,#,#,0.018194419,0.027776671,0.033159404,0.036485818
E01019973,0.018907572,0.023112925,0.020549641,0.019697138,#,#,0.018595203
E01019974,0.021842957,#,#,#,0.02212925,0.028454197,0.030844236
E01019975,0.017341793,0.023217504,0.02614596,0.022965544,0.021668862,0.022937519,0.032896442
E01019976,0.029480944,0.02735777,0.022724955,0.029832524,#,#,0.030975354
E01019977,0.017598185,0.019994126,0.02503523,0.028668795,0.029045784,0.027753254,0.035634995
E01019980,0.039052195,0.040249377,0.040663112,0.038744296,0.043183695,0.042194068,0.040239379
E01019981,0.019567548,0.022765753,0.024809308,0.024216475,0.026033038,0.026979262,0.029394659
E01019982,0.017218552,0.020019056,0.025530171,0.029976745,0.034805111,0.034418339,0.035206026
E01019983,0.031671258,0.025219719,0.025893985,0.027776671,0.030738281,0.029403674,0.031373097
E01019984,0.020309549,#,#,0.018275569,0.029792631,0.029080354,0.030751153
E01019985,0.018525521,0.021997532,0.023200083,0.026033038,0.02572897,0.030712626,0.037426442
E01019986,0.027981481,0.021129662,0.026961336,0.029654079,0.030452433,0.028503139,0.02334003
E01019987,0.055556355,0.060495704,0.056911025,0.062290965,0.063730237,0.058380317,0.064793489
E01019988,0.033714859,0.026767803,0.03334773,0.029466979,0.031793559,0.03527008,0.039112475
E01019989,0.042392237,0.044170205,0.048103921,0.032200022,0.032630042,0.033525468,0.041510083
E01019990,0.027093886,0.027927379,0.02939036,0.032753663,0.030933721,0.029415769,0.031060587
E01019991,0.018327461,0.023879533,0.024830533,0.024777602,0.028449183,0.037566487,0.037383628
E01019992,0.018595372,0.020913795,0.022928835,0.01931464,0.031488193,0.037421245,0.035848351
E01019993,#,0.033726126,0.032930342,0.036646136,0.035642909,0.037658873,0.03980258
E01019994,0.062942523,0.060710213,0.065860137,0.070703345,0.064229177,0.056548848,0.062497128
E01019995,0.090120355,0.094889866,0.097040159,0.091451242,0.096705231,0.097593637,0.101811576
E01019996,0.085977545,0.082417142,0.094418448,0.08678213,0.081843071,0.101209706,0.099809378
E01019997,0.090115187,0.07927926,0.076802626,0.064472067,0.096934933,0.101349078,0.100713343
E01019998,0.064531989,0.067056846,0.06546592,0.063549159,0.064030669,0.061965014,0.060606524
E01019999,0.03484897,0.033961395,0.04576136,0.046016531,0.047252214,0.04576136,0.04603914
E01020000,0.051835538,0.056421466,0.055816411,0.054941482,0.058522461,0.061461387,0.058211662
E01020001,0.062133795,0.067655407,0.06259334,0.05928986,0.057846151,0.057484372,0.048841525
E01020002,#,0.017356934,0.017957204,0.021833742,0.020174224,0.019135954,0.0204667
E01020003,#,#,0.016893745,0.016174357,0.014902206,0.022096405,0.031432764
E01020004,0.019102774,0.019007183,0.01762462,0.019697138,0.019121714,0.023370997,#
E01020005,0.01899108,0.020190088,0.021985217,0.02428137,0.023816389,0.019501922,0.017975702
E01020006,0.030713405,0.033599463,0.035435223,0.03502533,0.034036499,0.037918712,0.040919505
E01020007,0.087991947,0.099134897,0.093681726,0.103435671,0.09582464,0.102068706,0.0990313
E01020008,0.056209411,0.063514953,0.065948481,0.070474352,0.068675679,0.080835539,0.088547349
E01020009,0.033866604,0.029488619,0.029945158,0.03325688,0.034598264,0.032152253,0.03715342
E01020010,0.012580558,0.016954445,0.019889956,0.021883201,0.022626276,0.025732363,0.030348525
E01020011,#,#,#,#,0.023353616,0.023516253,#
E01020012,0.014393999,#,0.014643694,0.022531874,0.027912685,0.021644421,0.025755029
E01020013,0.037508284,0.041018202,0.044017401,0.045930613,0.055659277,0.062407148,0.065747443
E01020014,0.018223206,0.023252471,0.028734435,0.030573531,0.031169207,0.034989139,0.038763511
E01020015,0.017507099,0.016484817,0.01690455,0.019145816,0.019519312,0.021498897,0.026631158
E01020016,0.064527444,0.072065452,0.07645363,0.081820574,0.091914448,0.089142348,0.085258116
E01020017,0.057418227,0.062792426,0.068900795,0.077007718,0.076577594,0.074374295,0.075188862
E01020018,0.058123902,0.067393168,0.065303773,0.081659122,0.097594579,0.103069225,0.10473344
E01020019,#,#,#,0.129864283,#,#,0.131688536
E01020020,0.081137258,0.08408419,0.101258918,0.08729493,0.078514138,0.063283651,0.085977545
E01020021,0.084578604,0.115161093,0.097072966,0.107146463,0.105326854,0.112038958,0.104149049
E01020022,0.093659813,0.099034135,0.101945522,0.11068829,0.102692527,0.106345697,0.101435684
E01020023,0.022531874,0.027438142,0.026664626,0.022548505,0.024120412,0.034530692,0.032236416
E01020024,0.039629509,0.04090964,0.040202476,#,0.030259477,0.041552623,0.033905139
E01020025,0.044084396,0.053847369,0.061182097,0.088824316,0.078153408,0.069674437,0.071345826
E01020026,#,#,0.016383657,0.018931772,0.023658235,0.034252887,0.037250727
E01020027,0.016667645,0.016504705,0.022353225,0.027249244,0.030212994,0.037446983,0.033740781
E01020029,0.031062707,0.027227745,0.030751153,0.033333423,0.029250908,0.026554339,0.043678874
E01020030,0.045800171,0.04606909,0.042965782,0.049696074,0.047144026,0.050325769,0.052818307
E01020031,0.030718154,0.029191912,0.026554339,0.031490645,0.03134134,0.026850411,0.037278388
E01020032,0.051283021,0.048621763,0.03547223,0.03980258,0.054713322,0.053429475,0.052642715
E01020033,0.016243527,0.013211319,#,0.013498359,0.013850754,0.014659288,0.016826982
E01020035,0.026220184,0.027661101,0.023633789,0.025363574,0.026054988,0.029051951,0.028739709
E01020036,0.021577248,0.024660416,0.028438059,0.027743082,0.027855742,0.034109238,0.032785316
E01020037,0.017460312,0.017393515,0.021747569,0.026737348,0.026880144,0.02607846,0.027145302
E01020038,#,0.016667645,0.021345143,0.035932407,0.031719508,0.026514052,0.0330596
E01020039,0.016064927,0.015677832,0.017920168,0.017471968,0.023989767,0.023942203,0.030542369
E01020040,#,#,0.023615924,0.024607398,0.031351142,0.037683616,0.035429674
E01020041,0.017825374,0.014088998,0.017159055,0.019864845,0.026765963,0.027809216,0.027965559
E01020042,#,#,0.01611096,#,#,0.018194419,0.016188199
E01020043,#,0.011411919,0.016678614,0.014466,0.013435661,0.012829058,0.013125355
E01020044,#,#,#,#,#,#,0
E01020045,0,#,0,0,0,0,#
E01020046,0,0,0,0,0,0,#
E01020047,0.016598445,0.018034569,0.024927663,0.024120412,0.027855742,0.022774768,0.024715276
E01020048,0.031212836,0.032783622,0.030317655,0.033913213,0.03190903,0.0324242,0.034613989
E01020049,0,#,#,#,#,#,0
E01020050,0,0,0,0,0,0,#
E01020051,#,#,0,#,#,#,0.023034997
E01020052,#,0.018513132,0.02262982,0.027784193,0.024301173,0.028668795,0.026850411
E01020053,0.012252528,0.011906878,0.019226943,0.020398033,0.018072932,0.019653217,0.023048921
E01020054,#,#,0.017280449,0.017416737,0.012528702,0.016828374,0.018320333
E01020055,0.027085796,0.023046194,0.031306502,0.033170382,0.03108811,0.035451154,0.042485952
E01020056,#,#,#,#,#,#,0.014997636
E01020057,0.037943645,0.038267293,0.036921081,0.038170987,0.04125517,0.039864991,0.037496563
E01020058,#,#,0.021010436,0.025265667,0.0280089,0.032632145,0.034477953
E01020059,#,#,#,0,0,0,#
E01020060,0.032640076,0.030048278,0.02602575,0.031067412,0.037056513,0.038712731,0.036679473
E01020061,0.033502315,0.034341603,0.031845479,0.031877504,0.034558569,0.031921958,0.032854507
E01020062,#,#,#,#,#,#,0.026998581
E01020063,0,0.009549621,#,0.011550738,0.014058864,0.017228239,0.016400145
E01020064,0.017280449,0.014682009,0.017098995,0.022108914,0.021758175,0.021748798,0.030613517
E01020065,#,#,0.020446834,0.019794424,0.022010095,0.022010095,0.025187684
E01020066,0.016116018,0.020445252,0.021892183,0.023098159,0.023318721,0.023620134,0.026172954
E01020067,#,#,0.011475498,0.012276047,0.013102815,0.015473273,0.017550566
E01020068,#,#,#,#,#,#,0.017717095
E01020069,#,#,#,#,#,#,#
E01020070,#,0.01342137,0.015388029,0.019486133,0.019648511,0.018431616,0.01704537
E01020071,0,#,#,#,#,0,0
E01020072,#,0,#,#,#,0,0
E01020073,#,0,#,#,0,0,0
E01020074,0,#,0,0,0,0,0.011233461
E01020075,#,#,#,#,#,#,#
E01020076,#,0.01315983,0.013749275,0.013976927,#,#,#
E01020077,#,#,#,0,0,0,#
E01020078,0.01776278,0.015238469,#,0.020814474,0.027362934,0.026644875,0.028930011
E01020079,0,0,0,0,0,#,#
E01020080,0,0,#,#,#,#,#
E01020081,#,#,#,0.018493361,0.029639245,0.02940698,0.023631129
E01020082,0,0,0,0,0,0,0
E01020083,0.01317818,0.013002791,0.010644359,0.013358365,0.016124076,0.017850012,0.016218007
E01020084,#,#,#,0.018726065,0.021976351,0.023615924,0.02276666
E01020085,#,#,#,0.012252528,0.013211319,#,#
E01020086,0,#,0,0,#,#,0.020309549
E01020087,#,0,#,0,0,0,0
E01020088,0,0,0,0,0,0,0
E01020089,0.019865791,0.014997636,0.013671061,#,0.01345497,0.011838761,0.009827566
E01020090,0,#,0,#,#,#,#
E01020091,#,#,#,#,#,#,#
E01020092,#,#,0,#,#,#,0
E01020093,0,#,#,#,#,#,0.016266182
E01020094,0.041552623,0.0579486,0.058750295,0.06197644,0.057247956,0.065654623,0.059190117
E01020095,0.013638207,0.017356934,0.018678347,0.029408139,0.024891112,0.028564518,0.027782405
E01020096,0.022736329,0.023769093,0.021565064,0.019230615,0.021239066,#,0.03298719
E01020097,0,#,#,#,#,#,#
E01020098,#,0,#,#,#,#,#
E01020099,0,0,0,0,0,0,#
E01020100,0,0,0,0,0,0,0
E01020101,0,#,#,#,#,#,#
E01020102,0.015602793,#,0.017886626,0.013263213,0.017595455,0.020174224,0.020211693
E01020103,#,#,0.012120583,0.014639406,0.012129347,0.012721366,0.012235715
E01020104,0.01342137,0.013862166,#,#,#,#,#
E01020105,#,#,0.013749275,0.01391931,0.014212244,#,#
E01020106,0,0,#,#,#,#,#
E01020107,0,0,#,#,#,0.02432147,#
E01020108,#,#,#,#,#,#,#
E01020109,0,#,#,0,#,#,#
E01020110,0.017564343,0.015505181,0.017220254,0.016296979,0.015354109,0.013125355,0.014213457
E01020111,#,0,#,#,#,#,0.011823492
E01020112,0.027549382,0.021837919,0.023815381,0.017148015,0.019255717,0.018931772,0.015883604
E01020113,#,0.01611096,0.017356934,0.025143644,0.019017782,#,0.017517026
E01020114,0,#,0,#,#,#,0
E01020115,0,0,0,#,0,#,#
E01020116,#,#,0.012387378,#,0.013820291,#,0
E01020117,#,#,#,#,#,#,#
E01020118,0,0,0,#,#,0.014630692,0
E01020119,#,#,#,#,#,#,0.028961892
E01020120,0.025876786,0.023048921,0.023288945,0.023827465,0.020019056,0.020736779,0.01920656
E01020121,0,#,0,0,0,0,#
E01020122,0,0,0,0,#,#,#
E01020123,#,#,#,#,#,#,#
E01020124,#,#,#,#,#,0.039167814,0.038831981
E01020125,#,#,#,#,#,0,#
E01020126,0.026643326,0.027885611,0.024541718,0.03144633,0.032171237,0.030671076,#
E01020127,#,#,#,#,#,#,#
E01020128,#,#,#,#,0,#,#
E01020129,0.023032613,0.019595522,#,0.020114361,#,#,#
E01020130,0.026658289,0.028112294,0.021869286,0.016598445,0.024506476,0.024208299,0.026046785
E01020131,0,#,0,0,0,0,0
E01020132,#,#,0.018453141,0.02466711,0.023295719,0.020211489,0.015238469
E01020133,#,#,#,0.019697138,0.020008407,0.023370997,0.022423147
E01020134,0.021358492,0.019452179,#,#,0.024261575,#,0.018493361
E01020135,0.015513731,#,#,0.014643694,#,#,#
E01020136,#,0.018188058,#,#,#,0.018270718,0.022928835
E01020137,0.038050817,0.039864766,0.037446983,0.035773854,0.03061384,0.030397287,0.033028242
E01020138,0,#,0,#,#,#,#
E01020139,0.020774422,0.023112925,0.018292986,0.019102774,0.023407329,0.029330878,0.021837919
E01020140,#,0.024018046,0.028379709,#,#,#,#
E01020141,0.019559659,0.017515875,0.018539022,0.019145907,0.020312129,0.018211702,0.020609447
E01020142,#,#,#,0,#,#,#
E01020143,0.012378941,0.011501306,#,#,#,#,0.020764143
E01020144,0.038599351,0.036598218,0.037051451,0.032413607,0.037982423,0.036808022,0.032930342
E01020145,0.030229141,0.021427142,#,#,#,#,0.028785638
E01020146,0.04804292,0.046444622,0.036078441,#,0.036866128,#,#
E01020147,0,0,#,#,#,#,#
E01020148,0,0,0,0,0,#,#
E01020149,#,0,#,0,0,#,#
E01020150,0.018275569,#,0.023268344,0.019494949,0.017352897,#,0.027033738
E01020151,0.031978755,0.033456626,0.031432413,#,#,#,#
E01020152,0.050701963,0.060424612,#,0.054373607,0.05360665,0.064535469,0.067989404
E01020153,0,0,#,0,0,#,#
E01020154,#,#,#,#,0,#,#
E01020155,#,#,#,0.02212925,0.021158617,0.02212925,0.030636443
E01020156,#,#,0,#,0,#,0
E01020157,#,#,#,#,0.014181497,0.015837158,0.022923723
E01020158,#,#,#,#,0,#,0
E01020159,0,#,#,#,0,#,0
E01020160,#,#,#,#,#,#,#
E01020161,0.014877157,0.014299584,0.017091402,0.015039391,0.01227486,0.011249217,0.010704356
E01020162,#,#,0,#,0,0,#
E01020163,0.009185905,#,#,#,0.009885108,0.013887093,0.01345497
E01020164,0.016520737,0.0177837,0.014788884,#,#,#,0.013749275
E01020165,0.014944093,0.014342144,0.01573032,0.018722985,0.017067055,0.018527576,0.016669986
E01020166,0,#,#,#,0,#,#
E01020167,#,0,0,0,0,0,#
E01020168,#,#,0,#,#,0.012034187,0.014997636
E01020169,0.013850754,0.01568171,0.018570039,0.018525186,0.022526018,0.029189393,0.027012757
E01020170,#,#,#,#,#,0,0
E01020171,0.027961986,0.02861705,0.026308458,0.027159838,0.024900128,0.025921247,0.032151635
E01020172,0,#,#,0.020711491,0.022439738,0.022439738,0.02117535
E01020173,0,0,#,#,#,0,#
E01020174,#,#,#,#,#,#,#
E01020175,0,#,#,#,#,#,#
E01020176,#,#,0,0,0,#,#
E01020177,0,0,0,#,#,#,#
E01020178,#,0,#,0,0,#,#
E01020179,0,0,0,0,0,0,0
E01020180,0.016157279,0.014184484,0.015440203,0.017764541,0.016569464,0.013015218,0.016576797
E01020181,#,#,#,#,#,0,0
E01020182,#,#,#,0,0,0,#
E01020183,0.021158617,0.031989233,0.030029523,0.037982423,0.03540683,0.033191399,0.029253914
E01020184,0.017810546,0.027537493,0.022018786,0.025921247,0.019678909,0.030229141,#
E01020185,#,#,#,#,#,#,#
E01020186,0,0,0,0,#,#,#
E01020187,0,#,#,#,#,#,0.023353616
E01020188,#,#,#,0.013862166,#,0.014393999,0.014836726
E01020189,0.013382063,0.011782235,#,#,0.017591584,0.014024408,0.012164248
E01020190,0.017131363,#,0.014288192,0.014451279,0.011270959,#,0.010467341
E01020191,0,#,#,#,0,0,#
E01020192,0,0,0,0,0,#,#
E01020193,0,0,0,0,0,#,#
E01020194,0,0,#,#,#,#,#
E01020195,0,0,0,0,#,0.012525228,0.013525018
E01020196,0.016893745,0.016969218,0.018101381,0.02160957,0.016504705,0.015307551,0.015377263
E01020197,0.02946734,#,#,0,0,0,0
E01020198,0,#,0,0,0,0,#
E01020199,#,#,#,#,0.015082509,#,0.015789656
E01020200,#,0,0,0,0,0,0
E01020201,0,0,0,0,0,0,0
E01020202,0,0,0,0,#,#,#
E01020203,#,#,#,0,#,#,#
E01020204,0.016064927,0.021610445,0.022492046,0.024823275,0.020398033,0.019929964,0.021635046
E01020205,0,0,0,0,0,0,#
E01020206,#,#,#,#,#,#,#
E01020207,#,#,#,#,#,#,0.009452308
E01020208,#,0.013862166,#,0.015809237,0.015307551,0.020913795,0.020918487
E01020209,#,#,#,#,0.02334003,0.021267531,0.023019486
E01020210,0,0,#,#,#,#,0
E01020211,0.017261444,0.014288192,0.01520325,0.01347493,0.012761926,0.014846691,0.018317139
E01020212,0,0,0,0,0,0,0
E01020213,#,#,#,#,0.018453141,0.019494949,0.021129662
E01020214,0,#,#,#,#,#,#
E01020215,#,#,#,#,#,#,0.029945741
E01020216,0.013554815,0.01660865,0.018466227,0.016540446,0.015637202,0.019982838,0.023689312
E01020217,0.035785746,0.033913859,0.039310799,0.040883615,0.041640389,0.040320583,0.038589549
E01020218,0.038229863,0.045336347,0.043118618,0.044792422,0.041906253,0.038811618,0.040387759
E01020219,0.01442896,0.013555843,0.014727678,0.015773906,0.015474111,0.015820787,0.013887093
E01020220,#,0.016918177,#,0,0,#,#
E01020221,#,#,#,0,#,0,0
E01020222,#,#,#,0,0,#,#
E01020223,0,#,#,#,#,#,#
E01020224,0.025587295,0.019906587,0.018595372,0.017680099,#,0.019799813,0.017810546
E01020225,#,#,#,0.017264175,0.021120967,0.025921247,0.025921247
E01020226,0,#,0.020641262,#,0.020515852,0.019199331,#
E01020227,0,0,0,0,#,#,#
E01020228,0.041495392,0.036932809,#,0.032913789,#,0.040650348,0.049778638
E01020229,#,#,#,0.020018182,0.016383657,0.016876996,0.022038976
E01020230,#,#,#,#,#,0.019910986,#
E01020231,0,0,0,0,#,#,0.016585775
