Area,Label,2014-15,2015-16
E01015087,Plymouth 006B,,
E01015088,Plymouth 006C,,
E01015089,Plymouth 007E,,
E01015090,Plymouth 005A,,
E01015091,Plymouth 005B,,
E01015092,Plymouth 005C,,
E01015093,Plymouth 005D,,
E01015094,Plymouth 005E,,
E01015095,Plymouth 010D,,
E01015096,Plymouth 010E,,
E01015097,Plymouth 001B,,
E01015098,Plymouth 017A,,
E01015099,Plymouth 017B,,
E01015100,Plymouth 017C,,
E01015101,Plymouth 016E,,
E01015102,Plymouth 011D,,
E01015103,Plymouth 017D,,
E01015104,Plymouth 011E,,
E01015105,Plymouth 017E,,
E01015106,Plymouth 013E,,
E01015107,Plymouth 018A,,
E01015108,Plymouth 022A,,
E01015109,Plymouth 022B,,
E01015110,Plymouth 018B,,
E01015111,Plymouth 018C,,
E01015112,Plymouth 019A,,
E01015113,Plymouth 019B,,
E01015114,Plymouth 019C,,
E01015115,Plymouth 022C,,
E01015116,Plymouth 022D,,
E01015117,Plymouth 022E,,
E01015118,Plymouth 019D,,
E01015119,Plymouth 018D,,
E01015120,Plymouth 015A,,
E01015121,Plymouth 015B,,
E01015122,Plymouth 019E,,
E01015123,Plymouth 015C,,
E01015124,Plymouth 015D,,
E01015125,Plymouth 015E,,
E01015126,Plymouth 030A,,
E01015127,Plymouth 030B,,
E01015128,Plymouth 032A,,
E01015129,Plymouth 032B,,
E01015130,Plymouth 032C,,
E01015131,Plymouth 030C,,
E01015132,Plymouth 030D,,
E01015133,Plymouth 030E,,
E01015134,Plymouth 032D,,
E01015135,Plymouth 031A,,
E01015136,Plymouth 031B,,
E01015137,Plymouth 031C,,
E01015138,Plymouth 031D,,
E01015139,Plymouth 031E,,
E01015140,Plymouth 032E,,
E01015141,Plymouth 031F,,
E01015142,Plymouth 009B,,
E01015143,Plymouth 009C,,
E01015144,Plymouth 009D,,
E01015145,Plymouth 014E,,
E01015146,Plymouth 009E,,
E01015147,Plymouth 006D,,
E01015148,Plymouth 006E,,
E01015149,Plymouth 009F,,
E01015150,Plymouth 009G,,
E01015151,Plymouth 029A,,
E01015152,Plymouth 027C,,
E01015153,Plymouth 029B,,
E01015155,Plymouth 029C,,
E01015156,Plymouth 027E,,
E01015157,Plymouth 029D,,
E01015158,Plymouth 029E,,
E01015159,Plymouth 002B,,
E01015160,Plymouth 001C,,
E01015161,Plymouth 002C,,
E01015162,Plymouth 002D,,
E01015163,Plymouth 003D,,
E01015164,Plymouth 001D,,
E01015165,Plymouth 003E,,
E01015166,Plymouth 002E,,
E01015167,Plymouth 020C,,
E01015168,Plymouth 020D,,
E01015169,Plymouth 024A,,
E01015170,Plymouth 024B,,
E01015171,Plymouth 020E,,
E01015172,Plymouth 029F,,
E01015173,Plymouth 024C,,
E01015174,Plymouth 024D,,
E01015175,Plymouth 025C,,
E01015176,Plymouth 021F,,
E01015177,Plymouth 025D,,
E01015178,Plymouth 025E,,
E01015179,Plymouth 028B,,
E01015180,Plymouth 028C,,
E01015181,Plymouth 028D,,
E01015182,Plymouth 028E,,
E01015183,Torbay 017A,,
E01015184,Torbay 017B,,
E01015185,Torbay 017C,,
E01015186,Torbay 017D,,
E01015187,Torbay 017E,,
E01015188,Torbay 017F,,
E01015189,Torbay 017G,,
E01015190,Torbay 013A,,
E01015191,Torbay 013B,,
E01015192,Torbay 013C,,
E01015193,Torbay 013D,,
E01015194,Torbay 013E,,
E01015195,Torbay 013F,,
E01015196,Torbay 013G,,
E01015197,Torbay 016A,,
E01015198,Torbay 016B,,
E01015199,Torbay 016C,,
E01015200,Torbay 016D,,
E01015201,Torbay 016E,,
E01015202,Torbay 012A,,
E01015203,Torbay 012B,,
E01015204,Torbay 012C,,
E01015205,Torbay 012D,,
E01015206,Torbay 012E,,
E01015207,Torbay 009A,,
E01015208,Torbay 019F,,
E01015209,Torbay 019A,,
E01015210,Torbay 007B,,
E01015211,Torbay 009C,,
E01015212,Torbay 007C,,
E01015213,Torbay 007D,,
E01015214,Torbay 006A,,
E01015215,Torbay 006B,,
E01015216,Torbay 006C,,
E01015217,Torbay 008A,,
E01015218,Torbay 006D,,
E01015219,Torbay 015A,,
E01015220,Torbay 015B,,
E01015221,Torbay 015C,,
E01015222,Torbay 015D,,
E01015223,Torbay 015E,,
E01015224,Torbay 011A,,
E01015225,Torbay 011B,,
E01015226,Torbay 011C,,
E01015227,Torbay 011D,,
E01015228,Torbay 011E,,
E01015229,Torbay 014A,,
E01015230,Torbay 011F,,
E01015231,Torbay 014B,,
E01015232,Torbay 014C,,
E01015233,Torbay 014D,,
E01015234,Torbay 014E,,
E01015235,Torbay 014F,,
E01015236,Torbay 002A,,
E01015237,Torbay 002B,,
E01015238,Torbay 002C,,
E01015239,Torbay 002D,,
E01015240,Torbay 005A,,
E01015241,Torbay 005B,,
E01015242,Torbay 005C,,
E01015243,Torbay 005D,,
E01015244,Torbay 018A,,
E01015245,Torbay 018B,,
E01015246,Torbay 018C,,
E01015247,Torbay 018D,,
E01015248,Torbay 018E,,
E01015249,Torbay 003A,,
E01015250,Torbay 003B,,
E01015251,Torbay 003C,,
E01015252,Torbay 003D,,
E01015253,Torbay 003E,,
E01015254,Torbay 003F,,
E01015255,Torbay 008B,,
E01015256,Torbay 008C,,
E01015257,Torbay 004A,,
E01015258,Torbay 004B,,
E01015259,Torbay 004C,,
E01015260,Torbay 004D,,
E01015261,Torbay 008D,,
E01015262,Torbay 001A,,
E01015263,Torbay 001B,,
E01015264,Torbay 001C,,
E01015265,Torbay 001D,,
E01015266,Torbay 001E,,
E01015267,Torbay 010A,,
E01015268,Torbay 010B,,
E01015269,Torbay 010C,,
E01015270,Torbay 010D,,
E01015271,Torbay 010E,,
E01019886,East Devon 005A,,0.423864851
E01019887,East Devon 005B,,
E01019888,East Devon 005C,,
E01019889,East Devon 005D,,
E01019890,East Devon 009A,,
E01019891,East Devon 006A,,0.336267117
E01019892,East Devon 006B,0.474567912,
E01019893,East Devon 006C,,
E01019894,East Devon 017A,,
E01019895,East Devon 017B,,
E01019896,East Devon 017C,,
E01019897,East Devon 017D,,
E01019898,East Devon 014A,,
E01019899,East Devon 007A,,
E01019900,East Devon 007B,,
E01019901,East Devon 009B,,0.52182375
E01019902,East Devon 001A,,
E01019903,East Devon 006D,0.52182375,0.459258126
E01019904,East Devon 015A,,
E01019905,East Devon 015B,,
E01019906,East Devon 015C,,
E01019907,East Devon 015D,,
E01019908,East Devon 016A,,
E01019909,East Devon 016B,,
E01019910,East Devon 016C,,
E01019911,East Devon 016D,,0.409616397
E01019912,East Devon 020A,,0.474567912
E01019913,East Devon 020B,0.459258126,0.409616397
E01019914,East Devon 020C,0.435866054,0.459258126
E01019915,East Devon 020D,,
E01019916,East Devon 019A,,
E01019917,East Devon 019B,,
E01019918,East Devon 019C,,0.409616397
E01019919,East Devon 019D,,
E01019920,East Devon 018A,,0.52182375
E01019921,East Devon 018B,,
E01019922,East Devon 018C,0.423864851,
E01019923,East Devon 018D,,
E01019924,East Devon 018E,,
E01019925,East Devon 004A,,
E01019927,East Devon 002A,,
E01019928,East Devon 003A,,
E01019929,East Devon 003B,,
E01019930,East Devon 003C,,
E01019931,East Devon 003D,,
E01019932,East Devon 002B,0.423864851,
E01019933,East Devon 002C,,0.52182375
E01019934,East Devon 002D,0.409616397,
E01019935,East Devon 007C,,
E01019936,East Devon 007D,0.474567912,
E01019937,East Devon 013A,,
E01019938,East Devon 001B,,
E01019939,East Devon 008A,,
E01019940,East Devon 008B,,
E01019942,East Devon 008C,,
E01019943,East Devon 008D,,
E01019944,East Devon 008E,,
E01019945,East Devon 013B,,
E01019946,East Devon 010A,,
E01019947,East Devon 010B,0.371385404,0.336267117
E01019948,East Devon 010C,0.52182375,
E01019949,East Devon 010D,,0.52182375
E01019950,East Devon 010E,,
E01019951,East Devon 009C,,
E01019952,East Devon 011A,,0.409616397
E01019953,East Devon 011B,,
E01019954,East Devon 011C,,
E01019955,East Devon 011D,,0.459258126
E01019956,East Devon 012A,,0.321870826
E01019957,East Devon 012B,,0.321870826
E01019958,East Devon 012C,0.400855794,0.435866054
E01019959,East Devon 004D,,
E01019960,East Devon 004E,,
E01019961,East Devon 007E,0.52182375,
E01019962,East Devon 004F,,0.409616397
E01019963,East Devon 013C,0.369416648,
E01019964,East Devon 014B,,
E01019965,East Devon 014C,,
E01019966,East Devon 005E,,
E01019967,East Devon 001C,,
E01019968,Exeter 014A,,
E01019969,Exeter 014B,,
E01019970,Exeter 014C,,
E01019971,Exeter 014D,,
E01019972,Exeter 014E,,
E01019973,Exeter 012A,0.371385404,
E01019974,Exeter 012B,,0.52182375
E01019975,Exeter 010A,,
E01019976,Exeter 012C,,0.401509671
E01019977,Exeter 012D,,0.400855794
E01019980,Exeter 005A,,
E01019981,Exeter 012E,,
E01019982,Exeter 005B,,
E01019983,Exeter 005C,,0.52182375
E01019984,Exeter 005D,,
E01019985,Exeter 005E,,
E01019986,Exeter 007A,,
E01019987,Exeter 006A,,
E01019988,Exeter 013A,,0.459258126
E01019989,Exeter 006B,,
E01019990,Exeter 002A,,
E01019991,Exeter 002B,,
E01019992,Exeter 003A,0.52182375,
E01019993,Exeter 002C,,
E01019994,Exeter 008A,,
E01019995,Exeter 008B,0.36737161,0.356095462
E01019996,Exeter 009A,,
E01019997,Exeter 004A,,
E01019998,Exeter 001C,,
E01019999,Exeter 001D,,
E01020000,Exeter 002D,,
E01020001,Exeter 001E,,
E01020002,Exeter 003B,,
E01020003,Exeter 003C,,0.52182375
E01020004,Exeter 003D,,
E01020005,Exeter 003E,,
E01020006,Exeter 006C,,
E01020007,Exeter 002E,,
E01020008,Exeter 006D,,
E01020009,Exeter 006E,,
E01020010,Exeter 013B,,
E01020011,Exeter 015A,,
E01020012,Exeter 015B,,0.474567912
E01020013,Exeter 013C,,
E01020014,Exeter 013D,,
E01020015,Exeter 013E,,
E01020016,Exeter 008C,,0.343547049
E01020017,Exeter 008D,,
E01020018,Exeter 008E,0.400855794,
E01020019,Exeter 004B,,
E01020020,Exeter 004C,,
E01020021,Exeter 004D,,
E01020022,Exeter 004E,,
E01020023,Exeter 009B,0.52182375,0.369416648
E01020024,Exeter 009C,,0.369416648
E01020025,Exeter 009D,,
E01020026,Exeter 011A,,
E01020027,Exeter 011B,,
E01020029,Exeter 010B,,
E01020030,Exeter 010C,,0.301462832
E01020031,Exeter 010D,,
E01020032,Exeter 010E,0.52182375,0.52182375
E01020033,Exeter 015C,,
E01020035,Exeter 011D,,0.52182375
E01020036,Exeter 007B,,
E01020037,Exeter 007C,,0.284914153
E01020038,Exeter 011E,,
E01020039,Exeter 007D,0.435866054,0.474567912
E01020040,Exeter 007E,,
E01020041,Mid Devon 011A,,
E01020042,Mid Devon 011B,,
E01020043,Mid Devon 008A,,
E01020044,Mid Devon 008B,,
E01020045,Mid Devon 006A,,
E01020046,Mid Devon 001A,,
E01020047,Mid Devon 002A,0.459258126,
E01020048,Mid Devon 005A,0.52182375,
E01020049,Mid Devon 001B,,
E01020050,Mid Devon 001C,,
E01020051,Mid Devon 002B,,0.474567912
E01020052,Mid Devon 004A,,
E01020053,Mid Devon 004B,,
E01020054,Mid Devon 007A,,
E01020055,Mid Devon 007B,,
E01020056,Mid Devon 008C,,
E01020057,Mid Devon 007C,,
E01020058,Mid Devon 007D,,
E01020059,Mid Devon 006B,,
E01020060,Mid Devon 011C,0.459258126,0.321870826
E01020061,Mid Devon 011D,,
E01020062,Mid Devon 006C,,
E01020063,Mid Devon 003A,0.52182375,0.459258126
E01020064,Mid Devon 006D,,
E01020065,Mid Devon 004C,,
E01020066,Mid Devon 002C,,
E01020067,Mid Devon 004D,,
E01020068,Mid Devon 010A,,
E01020069,Mid Devon 010B,,
E01020070,Mid Devon 010C,,
E01020071,Mid Devon 008D,,0.52182375
E01020072,Mid Devon 009A,,
E01020073,Mid Devon 009B,,0.369416648
E01020074,Mid Devon 003B,,
E01020075,Mid Devon 003C,,
E01020076,Mid Devon 009C,,0.52182375
E01020077,Mid Devon 001D,,
E01020078,Mid Devon 005B,0.369416648,0.474567912
E01020079,Mid Devon 005C,0.459258126,0.400855794
E01020080,Mid Devon 002D,,
E01020081,Mid Devon 005D,,
E01020082,Mid Devon 009D,,
E01020083,Mid Devon 010D,,
E01020084,North Devon 012A,,
E01020085,North Devon 012B,,
E01020086,North Devon 012C,,
E01020087,North Devon 014A,,0.52182375
E01020088,North Devon 006A,,0.423864851
E01020089,North Devon 005A,0.401509671,0.371385404
E01020090,North Devon 004A,,0.369416648
E01020091,North Devon 005B,,
E01020092,North Devon 005C,,
E01020093,North Devon 005D,0.356095462,0.311660948
E01020094,North Devon 008A,0.205907214,0.267471986
E01020095,North Devon 008B,0.369416648,0.52182375
E01020096,North Devon 009A,0.336267117,0.474567912
E01020097,North Devon 013A,,
E01020098,North Devon 014B,,0.52182375
E01020099,North Devon 002A,,
E01020100,North Devon 002B,,
E01020101,North Devon 002C,0.52182375,
E01020102,North Devon 010A,,
E01020103,North Devon 010B,,0.371385404
E01020104,North Devon 010C,,
E01020105,North Devon 011A,,
E01020106,North Devon 011B,,0.435866054
E01020107,North Devon 011C,0.401509671,0.459258126
E01020108,North Devon 004B,,
E01020109,North Devon 004C,,
E01020110,North Devon 005E,,0.52182375
E01020111,North Devon 001A,,0.369416648
E01020112,North Devon 001B,,
E01020113,North Devon 003A,,
E01020114,North Devon 001C,0.52182375,
E01020115,North Devon 001D,,
E01020116,North Devon 003B,,
E01020117,North Devon 003C,0.52182375,
E01020118,North Devon 003D,,
E01020119,North Devon 011D,0.459258126,0.459258126
E01020120,North Devon 006B,0.369416648,0.301462832
E01020121,North Devon 012D,0.345016117,0.409616397
E01020122,North Devon 012E,,
E01020123,North Devon 009B,,
E01020124,North Devon 009C,0.401509671,
E01020125,North Devon 009D,,
E01020126,North Devon 002D,,0.409616397
E01020127,North Devon 006C,,
E01020128,North Devon 010D,,
E01020129,North Devon 010E,,
E01020130,North Devon 010F,,
E01020131,North Devon 013B,0.459258126,
E01020132,North Devon 007A,0.308497108,0.268956546
E01020133,North Devon 007B,,
E01020134,North Devon 007C,,
E01020135,North Devon 013C,,0.308497108
E01020136,North Devon 013D,0.52182375,0.459258126
E01020137,North Devon 013E,0.459258126,
E01020138,North Devon 014C,0.52182375,
E01020139,North Devon 007D,0.52182375,0.401509671
E01020140,North Devon 008C,,
E01020141,North Devon 008D,0.401509671,
E01020142,South Hams 006A,,
E01020143,South Hams 006B,,
E01020144,South Hams 001A,,
E01020145,South Hams 001B,,
E01020146,South Hams 001C,,
E01020147,South Hams 008A,,
E01020148,South Hams 002A,,
E01020149,South Hams 001D,,
E01020150,South Hams 006C,,
E01020151,South Hams 007A,,
E01020152,South Hams 007B,0.459258126,
E01020153,South Hams 004A,,
E01020154,South Hams 007C,,
E01020155,South Hams 007D,,0.400855794
E01020156,South Hams 004B,,
E01020157,South Hams 002B,,0.409616397
E01020158,South Hams 008B,,0.459258126
E01020159,South Hams 008C,,
E01020160,South Hams 002C,,
E01020161,South Hams 005A,0.247510825,0.369416648
E01020162,South Hams 005B,,
E01020163,South Hams 005C,,
E01020164,South Hams 005D,0.52182375,
E01020165,South Hams 005E,,
E01020166,South Hams 005F,,0.52182375
E01020167,South Hams 005G,,
E01020168,South Hams 010A,0.401509671,0.356095462
E01020169,South Hams 010B,,0.474567912
E01020170,South Hams 004C,,
E01020171,South Hams 009A,,0.52182375
E01020172,South Hams 012A,,
E01020173,South Hams 012B,,
E01020174,South Hams 011A,,
E01020175,South Hams 011B,,
E01020176,South Hams 002D,,
E01020177,South Hams 002E,,0.52182375
E01020178,South Hams 011C,,
E01020179,South Hams 012C,,
E01020180,South Hams 003A,0.52182375,0.459258126
E01020181,South Hams 003B,,0.336267117
E01020182,South Hams 003C,,
E01020183,South Hams 003D,0.459258126,
E01020184,South Hams 003E,0.52182375,0.369416648
E01020185,South Hams 009B,0.52182375,
E01020186,South Hams 009C,,0.308497108
E01020187,South Hams 009D,,
E01020188,South Hams 004D,,
E01020189,South Hams 010C,,0.459258126
E01020190,South Hams 008D,0.52182375,
E01020191,Teignbridge 013A,,
E01020192,Teignbridge 019A,,
E01020193,Teignbridge 019B,,
E01020194,Teignbridge 013B,,
E01020195,Teignbridge 017A,,0.369416648
E01020196,Teignbridge 017B,0.459258126,0.336267117
E01020197,Teignbridge 017C,,
E01020198,Teignbridge 017D,,
E01020199,Teignbridge 017E,,0.308497108
E01020200,Teignbridge 011A,,
E01020201,Teignbridge 011B,,
E01020202,Teignbridge 007A,0.435866054,0.400855794
E01020203,Teignbridge 004A,0.345016117,0.369416648
E01020204,Teignbridge 007B,,
E01020205,Teignbridge 003A,,0.459258126
E01020206,Teignbridge 004B,0.52182375,0.435866054
E01020207,Teignbridge 013C,,
E01020208,Teignbridge 012A,0.459258126,
E01020209,Teignbridge 012B,0.409616397,0.52182375
E01020210,Teignbridge 012C,,
E01020211,Teignbridge 014A,,
E01020212,Teignbridge 016A,0.52182375,
E01020213,Teignbridge 016B,,
E01020214,Teignbridge 016C,0.401509671,
E01020215,Teignbridge 016D,,
E01020216,Teignbridge 015A,,
E01020217,Teignbridge 014B,,0.409616397
E01020218,Teignbridge 014C,,
E01020219,Teignbridge 012D,,
E01020220,Teignbridge 004C,,0.369416648
E01020221,Teignbridge 004D,,
E01020222,Teignbridge 004E,,
E01020223,Teignbridge 004F,,
E01020224,Teignbridge 014D,,
E01020225,Teignbridge 015B,,
E01020226,Teignbridge 015C,,
E01020227,Teignbridge 015D,0.52182375,
E01020228,Teignbridge 006A,0.300624902,0.356095462
E01020229,Teignbridge 005A,0.52182375,0.474567912
E01020230,Teignbridge 005B,,
E01020231,Teignbridge 005C,0.435866054,0.474567912
E01020232,Teignbridge 005D,0.474567912,0.401509671
E01020233,Teignbridge 006B,0.377871351,0.345016117
E01020234,Teignbridge 006C,,
E01020235,Teignbridge 006D,0.380136784,0.283374358
E01020236,Teignbridge 007C,,
E01020237,Teignbridge 007D,,
E01020238,Teignbridge 019C,,
E01020239,Teignbridge 019D,0.409616397,
E01020240,Teignbridge 002A,,0.356095462
E01020241,Teignbridge 002B,,
E01020242,Teignbridge 002C,,
E01020243,Teignbridge 001A,,
E01020244,Teignbridge 002D,0.377871351,
E01020245,Teignbridge 002E,,
E01020246,Teignbridge 018A,,
E01020247,Teignbridge 018B,,0.409616397
E01020248,Teignbridge 018C,,
E01020249,Teignbridge 018D,,
E01020250,Teignbridge 009A,,0.435866054
E01020251,Teignbridge 011C,,
E01020252,Teignbridge 009B,0.52182375,
E01020253,Teignbridge 009C,,
E01020254,Teignbridge 009D,0.52182375,
E01020255,Teignbridge 009E,,
E01020256,Teignbridge 013D,,
E01020257,Teignbridge 009F,,
E01020258,Teignbridge 003B,,
E01020259,Teignbridge 003C,,
E01020260,Teignbridge 011D,,0.52182375
E01020261,Teignbridge 011E,,0.52182375
E01020262,Teignbridge 001B,,
E01020263,Teignbridge 001C,,0.52182375
E01020264,Teignbridge 010A,,
E01020265,Teignbridge 008A,,0.474567912
E01020266,Teignbridge 008B,,
E01020267,Teignbridge 008C,,0.52182375
E01020268,Teignbridge 008D,,0.409616397
E01020269,Teignbridge 010B,0.284914153,0.246762103
E01020270,Teignbridge 008E,,
E01020271,Teignbridge 010C,0.369416648,0.435866054
E01020272,Teignbridge 010D,,
E01020273,Teignbridge 003D,,
E01020274,Teignbridge 001D,,
E01020275,Torridge 001A,,0.459258126
E01020276,Torridge 001B,,0.52182375
E01020277,Torridge 004A,0.336267117,0.308497108
E01020278,Torridge 004B,,
E01020279,Torridge 004C,0.435866054,
E01020280,Torridge 003A,,
E01020281,Torridge 003B,,
E01020282,Torridge 003C,0.474567912,0.401509671
E01020283,Torridge 004D,0.474567912,0.321858462
E01020284,Torridge 004E,,0.371385404
E01020285,Torridge 004F,,0.459258126
E01020286,Torridge 009A,,
E01020287,Torridge 007A,,
E01020288,Torridge 005A,,
E01020289,Torridge 009B,,
E01020290,Torridge 009C,,
E01020291,Torridge 008A,,
E01020292,Torridge 005B,,
E01020293,Torridge 008B,0.435866054,0.474567912
E01020294,Torridge 008C,0.459258126,
E01020295,Torridge 005C,,
E01020296,Torridge 005D,,
E01020297,Torridge 001C,,
E01020298,Torridge 002A,0.282819171,0.435866054
E01020299,Torridge 001D,,0.401509671
E01020300,Torridge 002B,,
E01020301,Torridge 009D,,0.52182375
E01020302,Torridge 008D,,0.459258126
E01020303,Torridge 007B,0.459258126,0.435866054
E01020304,Torridge 006A,0.459258126,
E01020305,Torridge 006B,,
E01020306,Torridge 006C,0.409616397,0.459258126
E01020307,Torridge 006D,0.52182375,0.409616397
E01020308,Torridge 007C,,
E01020309,Torridge 008E,,
E01020310,Torridge 002C,,0.356095462
E01020311,Torridge 007D,,
E01020312,West Devon 007A,,0.459258126
E01020313,West Devon 007B,,0.409616397
E01020314,West Devon 004A,,
E01020315,West Devon 007C,,
E01020316,West Devon 007D,,
E01020317,West Devon 006A,,
E01020318,West Devon 003A,,
E01020319,West Devon 003B,,
E01020320,West Devon 001A,,
E01020321,West Devon 001B,,
E01020322,West Devon 001C,,
E01020323,West Devon 003C,,
E01020324,West Devon 006B,,0.409616397
E01020325,West Devon 004B,,
E01020326,West Devon 001D,,0.409616397
E01020327,West Devon 002A,,0.321870826
E01020328,West Devon 002B,,
E01020329,West Devon 002C,,
E01020330,West Devon 002D,,0.52182375
E01020331,West Devon 004C,,0.474567912
E01020332,West Devon 005A,,0.435866054
E01020333,West Devon 005B,,0.474567912
E01020334,West Devon 005C,0.409616397,0.335937671
E01020335,West Devon 005D,0.409616397,0.401509671
E01020336,West Devon 005E,0.459258126,0.459258126
E01020337,West Devon 005F,0.52182375,
E01020338,West Devon 005G,0.369416648,
E01020339,West Devon 003D,,
E01020340,West Devon 004D,,0.423864851
E01020341,West Devon 006C,,
E01020342,West Devon 006D,,
E01032628,East Devon 004G,,
E01032657,Plymouth 027F,,
E01032658,Plymouth 027G,,
E01033232,Exeter 011F,,
E01033233,Exeter 001F,,
E01033234,Exeter 011G,,
E01033235,Exeter 015E,0.459258126,0.52182375
E01033236,Exeter 015F,,
E07000040,East Devon,0.048957372,0.038242509
E07000041,Exeter,0.056067106,0.049807871
E07000042,Mid Devon,0.074218902,0.063048871
E07000043,North Devon,0.038790012,0.045543353
E07000044,South Hams,0.062358156,0.046195211
E07000045,Teignbridge,0.041771561,0.036777217
E07000046,Torridge,0.067657233,0.061691593
E07000047,West Devon,0.083500942,0.062271111
E10000008,Devon,0.017337906,0.015589259
E06000026,Plymouth,,
E06000027,Torbay,,
IMDQ1,Q1 - Most Deprived,0.079722101,0.079873822
IMDQ2,Q2 - Above Average,0.035030659,0.032342913
IMDQ3,Q3 - Average,0.033910457,0.028601057
IMDQ4,Q4 - Below Average,0.039151707,0.033934628
IMDQ5,Q5 - Least Deprived,0.047865142,0.044504488
E02003122,Plymouth 001,,
E02003123,Plymouth 002,,
E02003124,Plymouth 003,,
E02003125,Plymouth 004,,
E02003126,Plymouth 005,,
E02003127,Plymouth 006,,
E02003128,Plymouth 007,,
E02003129,Plymouth 008,,
E02003130,Plymouth 009,,
E02003131,Plymouth 010,,
E02003132,Plymouth 011,,
E02003133,Plymouth 012,,
E02003134,Plymouth 013,,
E02003135,Plymouth 014,,
E02003136,Plymouth 015,,
E02003137,Plymouth 016,,
E02003138,Plymouth 017,,
E02003139,Plymouth 018,,
E02003140,Plymouth 019,,
E02003141,Plymouth 020,,
E02003142,Plymouth 021,,
E02003143,Plymouth 022,,
E02003144,Plymouth 023,,
E02003145,Plymouth 024,,
E02003146,Plymouth 025,,
E02003147,Plymouth 026,,
E02003148,Plymouth 027,,
E02003149,Plymouth 028,,
E02003150,Plymouth 029,,
E02003151,Plymouth 030,,
E02003152,Plymouth 031,,
E02003153,Plymouth 032,,
E02003154,Torbay 001,,
E02003155,Torbay 002,,
E02003156,Torbay 003,,
E02003157,Torbay 004,,
E02003158,Torbay 005,,
E02003159,Torbay 006,,
E02003161,Torbay 008,,
E02003163,Torbay 010,,
E02003164,Torbay 011,,
E02003165,Torbay 012,,
E02003166,Torbay 013,,
E02003167,Torbay 014,,
E02003168,Torbay 015,,
E02003169,Torbay 016,,
E02003170,Torbay 017,,
E02003171,Torbay 018,,
E02004129,East Devon 001,0.380136784,0.336267117
E02004130,East Devon 002,0.226113507,0.239820738
E02004131,East Devon 003,0.301462832,0.247052638
E02004132,East Devon 004,0.435866054,0.2528179
E02004133,East Devon 005,0.371385404,0.23356459
E02004134,East Devon 006,0.228926827,0.190540862
E02004135,East Devon 007,0.283374358,0.285272018
E02004136,East Devon 008,0.400855794,0.356095462
E02004137,East Devon 009,0.409616397,0.283374358
E02004138,East Devon 010,0.198732763,0.186639468
E02004139,East Devon 011,0.345016117,0.195064323
E02004140,East Devon 012,0.257024188,0.170066922
E02004141,East Devon 013,0.284914153,0.356095462
E02004142,East Devon 014,,0.459258126
E02004143,East Devon 015,0.264648469,0.345016117
E02004144,East Devon 016,0.308497108,0.247052638
E02004145,East Devon 017,0.371385404,0.293689963
E02004146,East Devon 018,0.337015287,0.264648469
E02004147,East Devon 019,0.356095462,0.301462832
E02004148,East Devon 020,0.212758461,0.208536312
E02004149,Exeter 001,0.369416648,
E02004150,Exeter 002,0.369416648,0.377871351
E02004151,Exeter 003,0.247052638,0.246762103
E02004152,Exeter 004,0.52182375,0.311660948
E02004153,Exeter 005,,0.293689963
E02004154,Exeter 006,,0.345016117
E02004155,Exeter 007,0.267255919,0.176008347
E02004156,Exeter 008,0.200360838,0.205705866
E02004157,Exeter 009,0.264648469,0.190540862
E02004158,Exeter 010,0.267255919,0.186155785
