Area,2016
E01020003,#
E01020004,#
E01020005,0.01510574
E01020006,0.008343266
E01020007,#
E01020008,0
E01020009,#
E01020010,0.023112481
E01020011,0
E01020012,0.009823183
E01020013,#
E01020014,0.020220588
E01020015,0.020833333
E01020016,#
E01020017,0
E01020018,0.009118541
E01020019,#
E01020020,0
E01020021,#
E01020022,#
E01020023,#
E01020024,#
E01020025,#
E01020026,0.011363636
E01020027,#
E01020029,#
E01020030,#
E01020031,0.009784736
E01020032,#
E01020033,0.012131716
E01020035,#
E01020036,0.013157895
E01020037,0.015317287
E01020038,#
E01020039,0.015384615
E01020040,#
E01020041,0.012482663
E01020042,#
E01020043,0.009708738
E01020044,#
E01020045,0.012594458
E01020046,#
E01020047,#
E01020048,0.010084034
E01020049,#
E01020050,0.011547344
E01020051,#
E01020052,0.012797075
E01020053,0.012170385
E01020054,0.010189229
E01020055,0.017175573
E01020056,#
E01020057,0.010294118
E01020058,#
E01020059,#
E01020060,#
E01020061,0.00931677
E01020062,#
E01020063,0.010447761
E01020064,0.013114754
E01020065,0.007672634
E01020066,0.011650485
E01020067,0.025925926
E01020068,#
E01020069,#
E01020070,#
E01020071,0.01934236
E01020072,#
E01020073,#
E01020074,0
E01020075,#
E01020076,0.012072435
E01020077,#
E01020078,0.011876485
E01020079,0.021108179
E01020080,0
E01020081,0.017045455
E01020082,#
E01020083,0.008658009
E01020084,#
E01020085,#
E01020086,#
E01020087,#
E01020088,#
E01020089,0.00777605
E01020090,0.014388489
E01020091,#
E01020092,#
E01020093,#
E01020094,#
E01020095,0.013333333
E01020096,0.01511879
E01020097,#
E01020098,0.012448133
E01020099,#
E01020100,#
E01020101,0.015151515
E01020102,0.010471204
E01020103,0.042789223
E01020104,0.025345622
E01020105,#
E01020106,#
E01020107,0.020958084
E01020108,#
E01020109,#
E01020110,0.008364312
E01020111,0.014925373
E01020112,#
E01020113,#
E01020114,0
E01020115,#
E01020116,0.013215859
E01020117,0.01910828
E01020118,0.010822511
E01020119,#
E01020120,#
E01020121,0.014571949
E01020122,#
E01020123,#
E01020124,#
E01020125,#
E01020126,#
E01020127,#
E01020128,0.020050125
E01020129,0.017191977
E01020130,0.00984252
E01020131,0.020979021
E01020132,0
E01020133,#
E01020134,0.024128686
E01020135,0.042105263
E01020136,0.030172414
E01020137,0.018561485
E01020138,#
E01020139,0.020356234
E01020140,#
E01020141,0.025796662
E01020142,#
E01020143,#
E01020144,#
E01020145,#
E01020146,#
E01020147,#
E01020148,#
E01020149,#
E01020150,#
E01020151,#
E01020152,#
E01020153,0
E01020154,0.011945392
E01020155,#
E01020156,#
E01020157,#
E01020158,#
E01020159,#
E01020160,#
E01020161,0.00877193
E01020162,#
E01020163,#
E01020164,0
E01020165,#
E01020166,#
E01020167,#
E01020168,#
E01020169,#
E01020170,#
E01020171,#
E01020172,#
E01020173,#
E01020174,#
E01020175,0.014409222
E01020176,#
E01020177,0.016806723
E01020178,#
E01020179,#
E01020180,0.008865248
E01020181,0.019480519
E01020182,0.011682243
E01020183,#
E01020184,0.016172507
E01020185,#
E01020186,#
E01020187,#
E01020188,#
E01020189,0.01
E01020190,0.012847966
E01020191,#
E01020192,#
E01020193,#
E01020194,#
E01020195,#
E01020196,#
E01020197,#
E01020198,0.012820513
E01020199,0.017777778
E01020200,#
E01020201,#
E01020202,#
E01020203,#
E01020204,#
E01020205,#
E01020206,#
E01020207,0.011415525
E01020208,0.017766497
E01020209,#
E01020210,#
E01020211,0.011605416
E01020212,0.022099448
E01020213,#
E01020214,#
E01020215,#
E01020216,0.015075377
E01020217,#
E01020218,#
E01020219,#
E01020220,0.010416667
E01020221,#
E01020222,#
E01020223,#
E01020224,#
E01020225,#
E01020226,#
E01020227,0
E01020228,#
E01020229,0.010204082
E01020230,0.018567639
E01020231,#
E01020232,0.013513514
E01020233,#
E01020234,0.015801354
E01020235,0.015957447
E01020236,#
E01020237,#
E01020238,#
E01020239,#
E01020240,0.019480519
E01020241,0.021691974
E01020242,0.014134276
E01020243,#
E01020244,0.014619883
E01020245,#
E01020246,0
E01020247,0.013129103
E01020248,#
E01020249,#
E01020250,#
E01020251,#
E01020252,0.014044944
E01020253,#
E01020254,#
E01020255,#
E01020256,#
E01020257,#
E01020258,0.015424165
E01020259,0
E01020260,0
E01020261,0
E01020262,#
E01020263,0
E01020264,#
E01020265,#
E01020266,#
E01020267,#
E01020268,#
E01020269,#
E01020270,#
E01020271,#
E01020272,0.009817672
E01020273,0.017804154
E01020274,#
E01020275,#
E01020276,0.023529412
E01020277,0.024709302
E01020278,#
E01020279,0.016322089
E01020280,0.016666667
E01020281,0.010507881
E01020282,#
E01020283,#
E01020284,0.013657056
E01020285,0.017191977
E01020286,0.01750547
E01020287,#
E01020288,#
E01020289,#
E01020290,#
E01020291,0
E01020292,#
E01020293,0.01598579
E01020294,0.015228426
E01020295,#
E01020296,0.017291066
E01020297,0.012953368
E01020298,0.019753086
E01020299,0.018181818
E01020300,0
E01020301,0.009398496
E01020302,0.014051522
E01020303,0.023391813
E01020304,0.011627907
E01020305,0.020689655
E01020306,#
E01020307,0.026217228
E01020308,#
E01020309,#
E01020310,#
E01020311,0.013245033
E01020312,#
E01020313,#
E01020314,#
E01020315,0
E01020316,#
E01020317,#
E01020318,#
E01020319,#
E01020320,#
E01020321,0.01147541
E01020322,0.021568627
E01020323,#
E01020324,#
E01020325,#
E01020326,0.011131725
E01020327,#
E01020328,0.014976959
E01020329,#
E01020330,#
E01020331,0.012531328
E01020332,#
E01020333,#
E01020334,#
E01020335,0
E01020336,0
E01020337,#
E01020338,0.010130246
E01020339,#
E01020340,0
E01020341,#
E01020342,0.011655012
E01032628,#
E01032657,
E01032658,
E01033232,#
E01033233,#
E01033234,#
E01033235,#
E01033236,0
E07000040,0.005214846
E07000041,0.005998228
E07000042,0.009257999
E07000043,0.012633431
E07000044,0.007275391
E07000045,0.008360995
E07000046,0.013582547
E07000047,0.007590709
E10000008,0.008234706
E06000026,
E06000027,
IMDQ1,0.015493985
IMDQ2,0.011171884
IMDQ3,0.007576818
IMDQ4,0.006784904
IMDQ5,0.004385395
E02003122,
E02003123,
E02003124,
E02003125,
E02003126,
E02003127,
E02003128,
E02003129,
E02003130,
E02003131,
E02003132,
E02003133,
E02003134,
E02003135,
E02003136,
E02003137,
E02003138,
E02003139,
E02003140,
E02003141,
E02003142,
E02003143,
E02003144,
E02003145,
E02003146,
E02003147,
E02003148,
E02003149,
E02003150,
E02003151,
E02003152,
E02003153,
E02003154,
E02003155,
E02003156,
E02003157,
E02003158,
E02003159,
E02003161,
E02003163,
E02003164,
E02003165,
E02003166,
E02003167,
E02003168,
E02003169,
E02003170,
E02003171,
E02004129,0.003955696
E02004130,0.005673759
E02004131,#
E02004132,#
E02004133,0.002457002
E02004134,0.009345794
E02004135,0.011648224
E02004136,0.002933985
E02004137,#
E02004138,0.012997563
E02004139,#
E02004140,#
E02004141,#
E02004142,#
E02004143,0.008905852
E02004144,0.006421483
E02004145,#
E02004146,0.008559201
E02004147,0.007215007
E02004148,0.004501608
E02004149,0.000799361
E02004150,0.004945249
E02004151,0.010342084
E02004152,0.001259446
E02004153,0.006449012
E02004154,0.003545052
E02004155,0.011563169
E02004156,0.003884573
E02004157,0.005803831
E02004158,0.008366534
E02004159,0.005627276
E02004160,0.009727626
E02004161,0.017725258
E02004162,0.006910168
E02004163,0.007777778
E02004164,0.007556675
E02004165,0.009051929
E02004166,0.005169443
E02004167,0.015197568
E02004168,0.014310246
E02004169,0.007996002
E02004170,0.010407993
E02004171,0.009578544
E02004172,0.006723716
E02004173,0.004660798
E02004174,0.008294931
E02004175,0.007241606
E02004176,0.012964564
E02004177,0.011356844
E02004178,0.008190618
E02004179,0.009090909
E02004180,0.006426735
E02004181,0.012730745
E02004182,0.015425532
E02004183,0.010901163
E02004184,0.021769178
E02004185,0.01071723
E02004186,0.006705409
E02004187,0.023076923
E02004188,0.009433962
E02004189,0.004664723
E02004190,0.006552419
E02004191,0.013182674
E02004192,0.004394225
E02004193,0.004470522
E02004194,0.005514706
E02004195,0.012223071
E02004196,0.007384615
E02004197,0.005654281
E02004198,0.007985258
E02004199,0.010251631
E02004200,0.009183673
E02004201,#
E02004202,0.015376984
E02004203,0.010752688
E02004204,0.006584362
E02004205,0.012048193
E02004206,0.012875536
E02004207,0.005667506
E02004208,0.005804749
E02004209,0.007327586
E02004210,0.007838746
E02004211,#
E02004212,0.008474576
E02004213,0.007653061
E02004214,0.005847953
E02004215,0.007125891
E02004216,0.011695906
E02004217,0.010816126
E02004218,0.006656805
E02004219,0.007971014
E02004220,0.016871166
E02004221,0.010436433
E02004222,0.012237762
E02004223,0.015720757
E02004224,0.011363636
E02004225,0.017513135
E02004226,0.013274336
E02004227,0.0113876
E02004228,0.010909091
E02004229,0.012588117
E02004230,0.010717614
E02004231,0.007427414
E02004232,0.006892231
E02004233,0.00436273
E02004234,0.006042296
E02004235,0.005586592
E02006840,
TOWN01,0.010816126
TOWN02,0.004175365
TOWN03,0.01300578
TOWN04,0.013862831
TOWN05,0.009643483
TOWN06,0.006623671
TOWN07,0.007963937
TOWN08,0.010484928
TOWN09,0.012619181
TOWN10,0.006342885
TOWN11,0.005623243
TOWN12,0.01583392
TOWN13,0.011191246
TOWN14,0.003180373
TOWN15,0.009291271
TOWN16,0.005242025
TOWN17,0.008024072
TOWN18,#
TOWN19,0.012684989
TOWN20,0.00711092
TOWN21,0.00994252
TOWN22,0.003420474
TOWN23,0.013431542
TOWN24,0.002477547
TOWN25,0.019952353
TOWN26,0.005841446
TOWN27,0.006442706
TOWN28,0.011114251
TOWN29,0.008783655
DIV1,0.007566512
DIV2,0.009509202
DIV3,0.003184713
DIV4,0.014307614
DIV5,0.018649856
DIV6,0.004806042
DIV7,0.01495778
DIV8,0.012411348
DIV9,0.004985755
DIV10,0.009643483
DIV11,0.007965243
DIV12,0.008629273
DIV13,0.009345794
DIV14,0.008318264
DIV15,0.008483853
DIV16,
DIV17,0.009572072
DIV18,0.007925569
DIV19,0.012406948
DIV20,0.001077877
DIV21,0.013033175
DIV22,0.004124484
DIV23,0.006224285
DIV24,0.008122942
DIV25,0.00322841
DIV26,0.007177033
DIV27,0.010533246
DIV28,0.009583134
DIV29,0.011191246
DIV30,0.009398496
DIV31,0.005784526
DIV32,0.004470522
DIV33,0.008885598
DIV34,0.006554574
DIV35,0.008866201
DIV36,0.007604563
DIV37,0.013994911
DIV38,0.00908605
DIV39,0.002522068
DIV40,0.009252313
DIV41,0.007077435
DIV42,0.011918493
DIV43,0.002898551
DIV44,0.007636237
DIV45,0.021059783
DIV46,0.00482969
DIV47,0.002227694
DIV48,0.00436273
DIV49,0.006791633
DIV50,0.012332324
DIV51,0.011274663
DIV52,0.015477997
DIV53,0.010638298
DIV54,0.006241787
DIV55,0.003918774
DIV56,0.007305423
DIV57,0.012679033
DIV58,0.006279435
CHSCTAXE,
CHSCTBARNSTAPLE,0.014384969
CHSCTBIDEFORD,0.012718744
CHSCTBRAUNTON,0.009601536
CHSCTCREDITON,0.006497022
CHSCTCULLOMPTON,0.008034976
CHSCTDAWLISH,0.008844884
CHSCTEXETERCHALL,0.009000373
CHSCTEXETERSYCAMORE,0.004922454
CHSCTEXMOUTH,0.005623243
CHSCTHONITON,0.002890537
CHSCTIVYBRIDGE,0.005594885
CHSCTKINGSBRIDGE,0.008024072
CHSCTNABBOT,0.007155432
CHSCTOKE,0.01077147
CHSCTSMOLTON,0.018060837
CHSCTTAVISTOCK,0.005144394
CHSCTTEIGN,0.007980846
CHSCTTIVERTON,0.010652989
CHSCTTORRINGTON,0.012749737
CHSCTTOTNES,0.011165783
Eastern,
Northern,
Southern,
Western,
